concept_code,note
A00.0,"Classical cholera"
A00.1,"Cholera eltor"
A01.0,"Infection due to Salmonella typhi"
A01.4,"Infection due to Salmonella paratyphi NOS"
A02.0,"Salmonellosis"
A02.2,"Salmonella arthritis+ (M01.3*)"
A02.2,"Salmonella meningitis+ (G01*)"
A02.2,"Salmonella osteomyelitis+ (M90.2*)"
A02.2,"Salmonella pneumonia+ (J17.0*)"
A02.2,"Salmonella renal tubulo-interstitial disease+ (N16.0*)"
A03.0,"Group A shigellosis [Shiga-Kruse dysentery]"
A03.1,"Group B shigellosis"
A03.2,"Group C shigellosis"
A03.3,"Group D shigellosis"
A03.9,"Bacillary dysentery NOS"
A04.4,"Escherichia coli enteritis NOS"
A04.9,"Bacterial enteritis NOS"
A05.1,"Classical foodborne intoxication due to Clostridium botulinum"
A05.2,"Enteritis necroticans"
A05.2,"Pig-bel"
A06.0,"Acute amoebiasis"
A06.0,"Intestinal amoebiasis NOS"
A06.3,"Amoeboma NOS"
A06.4,"Hepatic amoebiasis"
A06.5,"Amoebic abscess of lung (and liver)"
A06.6,"Amoebic abscess of brain (and liver)(and lung)"
A06.8,"Amoebic appendicitis"
A06.8,"Amoebic balanitis+ (N51.2*)"
A07.0,"Balantidial dysentery"
A07.3,"Infection due to Isospora belli and Isospora hominis"
A07.3,"Intestinal coccidiosis"
A07.3,"Isosporosis"
A07.8,"Intestinal trichomoniasis"
A07.8,"Sarcocystosis"
A07.8,"Sarcosporidiosis"
A07.9,"Flagellate diarrhoea"
A07.9,"Protozoal colitis"
A07.9,"Protozoal diarrhoea"
A07.9,"Protozoal dysentery"
A08.1,"Small round structured virus enteritis"
A08.4,"Viral enteritis NOS"
A08.4,"Viral gastroenteritis NOS"
A08.4,"Viral gastroenteropathy NOS"
A09,"Catarrh, enteric or intestinal"
A09,"Diarrhoea NOS"
A09,"Diarrhoea dysenteric"
A09,"Diarrhoea epidemic"
A09,"Infectious diarrhoeal disease NOS"
A15.1,"Conditions listed in A15.0, confirmed by culture only"
A15.2,"Conditions listed in A15.0, confirmed histologically"
A15.3,"Conditions listed in A15.0, confirmed but unspecified whether bacteriologically or histologically"
A16.1,"Conditions listed in A16.0, bacteriological and histological examination not done"
A16.7,"Primary respiratory tuberculosis NOS"
A16.7,"Primary tuberculous complex"
A16.9,"Respiratory tuberculosis NOS"
A16.9,"Tuberculosis NOS"
A17.0,"Tuberculosis of meninges (cerebral)(spinal)"
A17.0,"Tuberculous leptomeningitis"
A17.1,"Tuberculoma of meninges"
A17.8,"Tuberculous abscess of brain (G07*)"
A17.8,"Tuberculous meningoencephalitis (G05.0*)"
A17.8,"Tuberculous myelitis (G05.0*)"
A17.8,"Tuberculous polyneuropathy (G63.0*)"
A18.0,"Tuberculosis of hip (M01.1*)"
A18.0,"Tuberculosis of knee (M01.1*)"
A18.0,"Tuberculosis of vertebral column (M49.0*)"
A18.0,"Tuberculous arthritis (M01.1*)"
A18.0,"Tuberculous mastoiditis (H75.0*)"
A18.0,"Tuberculous necrosis of bone (M90.0*)"
A18.0,"Tuberculous osteitis (M90.0*)"
A18.0,"Tuberculous osteomyelitis (M90.0*)"
A18.0,"Tuberculous synovitis (M68.0*)"
A18.0,"Tuberculous tenosynovitis (M68.0*)"
A18.1,"Tuberculosis of bladder+ (N33.0*)"
A18.1,"Tuberculosis of cervix+ (N74.0*)"
A18.1,"Tuberculosis of kidney+ (N29.1*)"
A18.1,"Tuberculosis of male genital organs+ (N51.-*)"
A18.1,"Tuberculosis of ureter+ (N29.1*)"
A18.1,"Tuberculous female pelvic inflammatory disease+ (N74.1*)"
A18.2,"Tuberculous adenitis"
A18.3,"Tuberculosis (of) anus and rectum+ (K93.0*)"
A18.3,"Tuberculosis (of) intestine (large)(small)+ (K93.0*)"
A18.3,"Tuberculosis (of) retroperitoneal (lymph nodes)"
A18.3,"Tuberculous ascites"
A18.3,"Tuberculous enteritis+ (K93.0*)"
A18.3,"Tuberculous peritonitis+ (K67.3*)"
A18.4,"Erythema induratum, tuberculous"
A18.4,"Lupus exedens"
A18.4,"&nbsp;&nbsp;&middot; NOS"
A18.4,"&nbsp;&nbsp;&middot; of eyelid+ (H03.1*)"
A18.4,"Scrofuloderma"
A18.5,"Tuberculous chorioretinitis+ (H32.0*)"
A18.5,"Tuberculous episcleritis+ (H19.0*)"
A18.5,"Tuberculous interstitial keratitis+ (H19.2*)"
A18.5,"Tuberculous iridocyclitis+ (H22.0*)"
A18.5,"Tuberculous keratoconjunctivitis (interstitial)(phlyctenular)+ (H19.2*)"
A18.6,"Tuberculous otitis media+ (H67.0*)"
A18.7,"Addison's disease, tuberculous"
A18.8,"Tuberculosis of endocardium+ (I39.8*)"
A18.8,"Tuberculosis of myocardium+ (I41.0*)"
A18.8,"Tuberculosis of oesophagus+ (K23.0*)"
A18.8,"Tuberculosis of pericardium+ (I32.0*)"
A18.8,"Tuberculosis of thyroid gland+ (E35.0*)"
A18.8,"Tuberculous cerebral arteritis+ (I68.1*)"
A20.8,"Abortive plague"
A20.8,"Asymptomatic plague"
A20.8,"Pestis minor"
A21.1,"Ophthalmic tularaemia"
A21.3,"Abdominal tularaemia"
A22.0,"Malignant carbuncle"
A22.0,"Malignant pustule"
A22.1,"Inhalation anthrax"
A22.1,"Ragpicker's disease"
A22.1,"Woolsorter's disease"
A22.8,"Anthrax meningitis+ (G01*)"
A24.0,"Infection due to Pseudomonas mallei"
A24.0,"Malleus"
A24.1,"Melioidosis pneumonia"
A24.1,"Melioidosis septicaemia"
A24.4,"Infection due to Pseudomonas pseudomallei NOS"
A24.4,"Whitmore's disease"
A25.0,"Sodoku"
A25.1,"Epidemic arthritic erythema"
A25.1,"Haverhill fever"
A25.1,"Streptobacillary rat-bite fever"
A26.0,"Erythema migrans"
A27.0,"Leptospirosis due to Leptospira interrogans serovar icterohaemorrhagiae"
A28.1,"Cat-scratch fever"
A30.0,"I leprosy"
A30.1,"TT leprosy"
A30.2,"BT leprosy"
A30.3,"BB leprosy"
A30.4,"BL leprosy"
A30.5,"LL leprosy"
A31.0,"Infection due to Mycobacterium avium"
A31.0,"Infection due to Mycobacterium intracellulare [Battey bacillus]"
A31.0,"Infection due to Mycobacterium kansasii"
A31.1,"Buruli ulcer"
A31.1,"Infection due to Mycobacterium marinum"
A31.1,"Infection due to Mycobacterium ulcerans"
A31.9,"Atypical mycobacterium infection NOS"
A31.9,"Mycobacteriosis NOS"
A32.1,"Listerial meningitis (G01*)"
A32.1,"Listerial meningoencephalitis (G05.0*)"
A32.8,"Listerial cerebral arteritis+ (I68.1*)"
A32.8,"Listerial endocarditis+ (I39.8*)"
A32.8,"Oculoglandular listeriosis"
A35,"Tetanus NOS"
A36.0,"Diphtheritic membranous angina"
A36.0,"Tonsillar diphtheria"
A36.2,"Diphtheritic laryngotracheitis"
A36.8,"Diphtheritic conjunctivitis+ (H13.1*)"
A36.8,"Diphtheritic myocarditis+ (I41.0*)"
A36.8,"Diphtheritic polyneuritis+ (G63.0*)"
A38,"Scarlatina"
A39.1,"Meningococcal haemorrhagic adrenalitis"
A39.1,"Meningococcic adrenal syndrome"
A39.4,"Meningococcal bacteraemia NOS"
A39.5,"Meningococcal carditis NOS (I52.0*)"
A39.5,"Meningococcal endocarditis (I39.8*)"
A39.5,"Meningococcal myocarditis (I41.0*)"
A39.5,"Meningococcal pericarditis (I32.0*)"
A39.8,"Meningococcal arthritis+ (M01.0*)"
A39.8,"Meningococcal conjunctivitis+ (H13.1*)"
A39.8,"Meningococcal encephalitis+ (G05.0*)"
A39.8,"Meningococcal retrobulbar neuritis+ (H48.1*)"
A39.8,"Postmeningococcal arthritis+ (M03.0*)"
A39.9,"Meningococcal disease NOS"
A40.3,"Pneumococcal septicaemia"
A41.1,"Septicaemia due to coagulase-negative staphylococcus"
A41.5,"Gram-negative septicaemia NOS"
A41.9,"Septic shock"
A44.0,"Oroya fever"
A44.1,"Verruga peruana"
A48.0,"Clostridial cellulitis"
A48.0,"Clostridial myonecrosis"
A48.4,"Systemic Haemophilus aegyptius infection"
A49.9,"Bacteraemia NOS"
,"human immunodeficiency virus [HIV] disease (B20-B24)"
,"nonspecific and nongonococcal urethritis (N34.1)"
,"Reiter's disease (M02.3)"
A50.0,"Early congenital syphilis cutaneous"
A50.0,"Early congenital syphilis mucocutaneous"
A50.0,"Early congenital syphilis visceral"
A50.0,"Early congenital syphilitic laryngitis"
A50.0,"Early congenital syphilitic oculopathy"
A50.0,"Early congenital syphilitic osteochondropathy"
A50.0,"Early congenital syphilitic pharyngitis"
A50.0,"Early congenital syphilitic pneumonia"
A50.0,"Early congenital syphilitic rhinitis"
A50.3,"Late congenital syphilitic interstitial keratitis+ (H19.2*)"
A50.3,"Late congenital syphilitic oculopathy NEC+ (H58.8*)"
A50.4,"Dementia paralytica juvenilis"
A50.4,"Juvenile general paresis"
A50.4,"Juvenile tabes dorsalis"
A50.4,"Juvenile taboparetic neurosyphilis"
A50.4,"Late congenital syphilitic encephalitis+ (G05.0*)"
A50.4,"Late congenital syphilitic meningitis+ (G01*)"
A50.4,"Late congenital syphilitic polyneuropathy+ (G63.0*)"
A50.5,"Clutton's joints+ (M03.1*)"
A50.5,"Hutchinson's teeth"
A50.5,"Hutchinson's triad"
A50.5,"Late congenital cardiovascular syphilis+ (I98.0*)"
A50.5,"&nbsp;&nbsp;&middot; arthropathy+ (M03.1*)"
A50.5,"&nbsp;&nbsp;&middot; osteochondropathy+ (M90.2*)"
A50.5,"Syphilitic saddle nose"
A51.0,"Syphilitic chancre NOS"
A51.3,"Condyloma latum"
A51.3,"Syphilitic alopecia+ (L99.8*)"
A51.3,"Syphilitic leukoderma+ (L99.8*)"
A51.3,"Syphilitic mucous patch"
A51.4,"Secondary syphilitic female pelvic inflammatory disease+ (N74.2*)"
A51.4,"Secondary syphilitic iridocyclitis+ (H22.0*)"
A51.4,"Secondary syphilitic lymphadenopathy"
A51.4,"Secondary syphilitic meningitis+ (G01*)"
A51.4,"Secondary syphilitic myositis+ (M63.0*)"
A51.4,"Secondary syphilitic oculopathy NEC+ (H58.8*)"
A51.4,"Secondary syphilitic periostitis+ (M90.1*)"
A52.0,"Cardiovascular syphilis NOS (I98.0*)"
A52.0,"Syphilitic aneurysm of aorta (I79.0*)"
A52.0,"Syphilitic aortic incompetence (I39.1*)"
A52.0,"Syphilitic aortitis (I79.1*)"
A52.0,"Syphilitic arteritis, cerebral (I68.1*)"
A52.0,"Syphilitic endocarditis NOS (I39.8*)"
A52.0,"Syphilitic myocarditis (I41.0*)"
A52.0,"Syphilitic pericarditis (I32.0*)"
A52.0,"Syphilitic pulmonary regurgitation (I39.3*)"
A52.1,"Charcot's arthropathy+ (M14.6*)"
A52.1,"Late syphilitic acoustic neuritis+ (H94.0*)"
A52.1,"Late syphilitic encephalitis+ (G05.0*)"
A52.1,"Late syphilitic meningitis+ (G01*)"
A52.1,"Late syphilitic optic atrophy+ (H48.0*)"
A52.1,"Late syphilitic polyneuropathy+ (G63.0*)"
A52.1,"Late syphilitic retrobulbar neuritis+ (H48.1*)"
A52.1,"Syphilitic parkinsonism+ (G22*)"
A52.1,"Tabes dorsalis"
A52.7,"Glomerular disease in syphilis+ (N08.0*)"
A52.7,"Late syphilitic bursitis+ (M73.1*)"
A52.7,"Late syphilitic chorioretinitis+ (H32.0*)"
A52.7,"Late syphilitic episcleritis+ (H19.0*)"
A52.7,"Late syphilitic female pelvic inflammatory disease+ (N74.2*)"
A52.7,"Late syphilitic leukoderma+ (L99.8*)"
A52.7,"Late syphilitic oculopathy NEC+ (H58.8*)"
A52.7,"Late syphilitic peritonitis+ (K67.2*)"
A52.7,"Syphilis [stage unspecified] of bone+ (M90.2*)"
A52.7,"Syphilis [stage unspecified] of liver+ (K77.0*)"
A52.7,"Syphilis [stage unspecified] of lung+ (J99.8*)"
A52.7,"Syphilis [stage unspecified] of muscle+ (M63.0*)"
A52.7,"Syphilis [stage unspecified] of synovium+ (M68.0*)"
A53.0,"Latent syphilis NOS"
A53.0,"Positive serological reaction for syphilis"
A53.9,"Infection due to Treponema pallidum NOS"
A53.9,"Syphilis (acquired) NOS"
A54.0,"Gonococcal cervicitis NOS"
A54.0,"Gonococcal cystitis NOS"
A54.0,"Gonococcal urethritis NOS"
A54.0,"Gonococcal vulvovaginitis NOS"
A54.1,"Gonococcal Bartholin's gland abscess"
A54.2,"Gonococcal epididymitis+ (N51.1*)"
A54.2,"Gonococcal female pelvic inflammatory disease+ (N74.3*)"
A54.2,"Gonococcal orchitis+ (N51.1*)"
A54.2,"Gonococcal prostatitis+ (N51.0*)"
A54.3,"Gonococcal conjunctivitis+ (H13.1*)"
A54.3,"Gonococcal iridocyclitis+ (H22.0*)"
A54.3,"Ophthalmia neonatorum due to gonococcus"
A54.4,"Gonococcal arthritis (M01.3*)"
A54.4,"Gonococcal bursitis (M73.0*)"
A54.4,"Gonococcal osteomyelitis (M90.2*)"
A54.4,"Gonococcal synovitis (M68.0*)"
A54.4,"Gonococcal tenosynovitis (M68.0*)"
A54.8,"Gonococcal brain abscess+ (G07*)"
A54.8,"Gonococcal endocarditis+ (I39.8*)"
A54.8,"Gonococcal meningitis+ (G01*)"
