FDA preferred term	UNII	Drugbank Name	Drugbank Id	Rxcui	RxTerm
10,12-OCTADECADIENOIC ACID, (10E,12Z)-	N151ZM4M27	(10E,12Z)-OCTADECA-10,12-DIENOIC ACID	DB04746		
12-BROMO-1-DODECANOL	L7CYF0086V	BROMO-DODECANOL	DB02619		
12-BROMODODECANOIC ACID	RP072ZQ00E	12-BROMODODECANOIC ACID	DB02405		
1,2-DIMETHOXYETHANE	GXS24JF5IW	1,2-DIMETHOXYETHANE	DB01749		
1,3,5-BENZENETRICARBOXYLIC ACID	OU36OO5MTN	1,3,5-BENZENETRICARBOXYLIC ACID	DB08632		
1,3,5-TRICHLOROBENZENE	2HS4M0BX3C	1,3,5-TRICHLORO-BENZENE	DB03836		
1,3-DIPHENYLUREA	94YD8RMX5B	1,3-DIPHENYLUREA	DB07496		
1,4-ANDROSTADIENE-3,17-DIONE	2166Q8568W	ANDROSTA-1,4-DIENE-3,17-DIONE	DB07373		
1,4-BUTANEDIOL	7XOO2LE6G3	1,4-BUTANEDIOL	DB01955		
17.ALPHA.-ESTRIOL	4G7IHY560Z	(16ALPHA,17ALPHA)-ESTRA-1,3,5(10)-TRIENE-3,16,17-TRIOL	DB07702		
19-NORANDROST-4-ENE-3,17-DIONE	U90987PVU5	19-NORANDROSTENEDIONE	DB01434		
1-AMINOANTHRACENE	8H6056DWN2	AMINOANTHRACENE	DB01976		
1-AMINOCYCLOPROPANECARBOXYLIC ACID	3K9EJ633GL	1-AMINOCYCLOPROPANECARBOXYLIC ACID	DB02085		
1-ANILINO-8-NAPHTHALENESULFONIC ACID	630I4V6051	1-ANILINO-8-NAPHTHALENE SULFONATE	DB04474		
1-BROMO-3-CHLOROPROPANE	KA4WR2LS00	CALCIUM GLUCEPTATE	DB00326		
1-METHYL HISTIDINE	583O01BJ32	4-METHYL-HISTIDINE	DB04151		
1-METHYLIMIDAZOLE	P4617QS63Y	1-METHYLIMIDAZOLE	DB02671		
1-NAPHTHALENEACETIC ACID	33T7G7757C	NAPHTHALEN-1-YL-ACETIC ACID	DB01750		
1-NAPHTHYLAMINE-5-SULFONIC ACID	W70WC365OD	5-AMINONAPHTHALENE-1-SULFONIC ACID	DB07176		
1-NAPHTHYLAMINE-6-SULFONIC ACID	59G56TB11B	5-AMINO-NAPHTALENE-2-MONOSULFONATE	DB08238		
1-OCTEN-3-OL, (+)-	07D31239FH	1-OCTEN-3-OL	DB03025		
1-PIPERIDINOCYCLOHEXANECARBONITRILE	03ZI7ZZW5Q	1-PIPERIDINOCYCLOHEXANECARBONITRILE	DB01539		
1-TESTOSTERONE	Y984BV1Q0G	DELTA1-DIHYDROTESTOSTERONE	DB01481		
2,2,2-TRIFLUOROETHANOL	8T8I76KYF1	TRIFLUOROETHANOL	DB03226		
2,3-BUTANEDIOL, ERYTHRO-	F5IA8X9O8M	(R,R)-2,3-BUTANEDIOL	DB02418		
2,3-BUTANEDIOL, (-)-	OR02B2286A	(R,R)-2,3-BUTANEDIOL	DB02418		
2,4,6-TRIBROMOPHENOL	YS6K3EU393	2,4,6-TRIBROMOPHENOL	DB02417		
2,4,6-TRINITROTOLUENE	H43RF5TRM5	TRINITROTOLUENE	DB01676		
2-(4-BIPHENYL)PROPIONIC ACID, (+)-	E4ZV1V9C3W	2-(1,1'-BIPHENYL-4-YL)PROPANOIC ACID	DB02047		
2,4-DIBROMOPHENOL	IA75T5C9TG	APLIDINE	DB04977		
2,4-DIHYDROXYBENZOIC ACID	LU39SC9JYL	2,4-DIHYDROXYBENZOIC ACID	DB02839	1368632	PIN
2,4-DINITROPHENOL	Q13SKS21MN	2,4-DINITROPHENOL	DB04528		
2,5-DIMETHOXY-4-(N)-PROPYLTHIOPHENETHYLAMINE	TJG366J9BA	2,5-DIMETHOXY-4-(N)-PROPYLTHIOPHENETHYLAMINE	DB01458		
25-HYDROXYCHOLESTEROL	767JTD2N31	(3BETA)-CHOLEST-5-ENE-3,25-DIOL	DB04705		
2,5-XYLIDINE	XWK0W8DA04	2,5-XYLIDINE	DB02163		
2,6-NAPHTHALENEDICARBOXYLIC ACID	K3C4DYZ29O	2,6-DICARBOXYNAPHTHALENE	DB08262		
2,6-NAPHTHALENEDISULFONIC ACID	BOR133U3TN	NAPHTHALENE-2,6-DISULFONIC ACID	DB04640		
2,6-PYRIDINEDICARBOXYLIC ACID	UE81S5CQ0G	DIPICOLINIC ACID	DB04267		
2-AMINO-1-METHYL-6-PHENYLIMIDAZO(4,5-B)PYRIDINE	909C6UN66T	2-AMINO-1-METHYL-6-PHENYLIMIDAZO[4,5-B]PYRIDINE	DB08398		
2-AMINO-3-HYDROXYBENZOIC ACID	1UQB1BT4OT	3-HYDROXYANTHRANILIC ACID	DB03644		
2-AMINOACETAMIDE	4JDT453NWO	GLYCINAMID	DB03636		
2-BUTANOL, (-)-	DLH38K423J	2-BUTANOL	DB02606		
2-CHLOROPHENOL	K9KAV4K6BN	2-CHLOROPHENOL	DB03110		
2-(CYCLOHEXYLAMINO)ETHANESULFONIC ACID	71X53V3RZ1	N-CYCLOHEXYLTAURINE	DB03309		
