DOSE_FORM	DOSE_FORM_NAME
FLAC.INJECT.RETARD IM	Vial with Injectable Solution for Intramuscular Injection with Delayed Release
FLAC.INJECT.RETARD LYOPH	Injectable Suspension with Delayed Release
FLAC.INJECT.RETARD SC	Vial with Injectable Solution with Delayed Release
FLAC.INJECT.US.OPHTALMO.	Vial with Ophtalmic Solution
FLACON LYOPH  A USA.EXT.	Vial with Suspension for Topical Administration
FLACONS INJECT..ORDIN.	Ordinary Vial with Injectable Solution
FLACONS INJECT.ORD.IM	Ordinary Vial with Injectable Solution for Intramuscular Injection
FLACONS INJECT.ORD.IV	Ordinary Vial with Injectable Solution for Intravenous Injection
FLACONS INJECT.ORD.LYOPH	Ordinary Vial with Injectable Suspension
FLACONS INJECT.ORD.SC	Ordinary Vial with Injectable Solution
FLACONS INJECT.RETARD	Vial with Delayed Release Injectable Solution
GAZE/OUATE+SU.A USA.EXT.	Medicated Pad with Gaze or Cotton
GEL DOUCHE    A USA.EXT.	Shower Gel
GEL EMULSION  A USA.EXT.	Topical Emulsion Gel
GEL GOUTTES    OPHTALMO.	Ophthalmic Gel In Drops
GEL/SOL         TOPIQUE	Topical Gel or Solution
GEL/SOL         VAGINALE	Vaginal Gel Or Solution
GEL/SOL        OPHTALMO.	Ophtalmic Solution or Gel
GEL/SOL       A USA.INT.	Oral Gel Or Solution
GEL/SOL OR.TOPIQUE	Oral Topical Gel or Solution
GELS/SOLS OPHTALM UNID	Ophtalmic Unidose Solution or Gel
GELS/SOLS TOP EXT UNID	Topical Solution or Gel
GELS/SOLS TOPIQUES DOSES	Topical Metered Dose Gel or Solution
GELS/SOLS VAG TOP UNID	Vaginal Unidose Gel or Solution
GLOBULE     OR.SOL.INST.	Round Oral Tablet
GOUTTE        A USA.EXT.	Topical Solution in Drops
GOUTTE        OTOLOGIQUE	Otic Solution in Drops
GOUTTE      OR.LIQ.INST.	Drops for Oral Administration
GOUTTE LYOPH   OPHTALMO.	Ophthalmic Suspension in Drops
GOUTTE ORAL TOPIQUE	Oral Topical Solution in Drops
GOUTTES       RHINOL.LOC	Nasal Solution in Drops
GOUTTES RHINOL    SYSTEM.	Nasal Solution in Drops
GRANULE     OR.SOL.INST.	Oral Granules
HUILE         A USA.EXT.	Topical Oil
HUILE         RHINOL.LOC	Nasal Oil
HUILE       OR.LIQ.INST.	Oral Oil
IMPLANTS     PARENT.RET.	Drug Implant with Delayed Release
INCONNU       INCONNU	Unknown Form
INFUS SACH  OR.LIQ.INST.	Oral Solution in Bag
INFUSIONS   OR.LIQ.INST.	Oral Solution
INSTR.CONE    A USA.EXT.	Urethral Suppository
LAQUE         A USA.EXT.	Topical Laquer
LIQ LAV V.RECTALE SYST.	Liquid Rectal Enema
LIQ.COMBINE   A USA.EXT.	Combined Topical Solution
LIQ.EMULSION    VAGINALE	Vaginal Emulsion
LIQ.INHAL.       PULMON.	Inhalant Solution
LIQ.LAVEM.    A USA.EXT.	Liquid Enema for Topical Administration
LIQ.SUBLING.OR.LIQ.INST.	Oral Sublingual Solution
LIQU.INHAL.   A USA.EXT.	Inhalant Solution
LIQUIDE         VAGINALE	Vaginal Solution
LIQUIDE        OPHTALMO.	Ophthalmic Solution
LIQUIDE       A USA.EXT.	Topical Solution
LIQUIDE       OTOLOGIQUE	Otic Solution
LIQUIDE     OR.LIQ.INST.	Oral Solution
LIQUIDE    NON US.HUMAIN	Solution for Administration not to Human Being
LIQUIDE DOSE VOIE PULMON	Inhalant Metered Dose Solution
LIQUIDE ORAL TOPIQUE	Oral Topical Solution
LOTION          VAGINALE	Vaginal Lotion
LOTION        A USA.EXT.	Topical Lotion
MICRO ENEMA   A USA.EXT.	Microenema for Topical Administration
MOUS PRES V.RECTALE SYST.	Rectal Foam
MOUSSE        A USA.EXT.	Topical Foam
MOUSSE PRESSUR  VAGINALE	Vaginal Foam Spray
ONGUENT         VAGINALE	Vaginal Ointment
ONGUENT        OPHTALMO.	Ophthalmic Ointment
ONGUENT       A USA.EXT.	Topical Ointment
ONGUENT       A USA.INT.	Ointment for Oral Administration
ONGUENT       RHINOL.LOC	Nasal Ointment
ONGUENT ORAL TOPIQUE	Oral Topical Ointment
OVULE           VAGINALE	Vaginal Tablet
PANS COLLOID. A USA.EXT.	Transdermal Colloid Patch
PANS+SUB.COMB.A USA.EXT.	Combined Transdermal Patch
PANS.ADHE+SUB.A USA.EXT.	Transdermal Adhesive Patch
PANS.TRANSDERM.USA.INT.	Transdermal Patch
PANSEMENT SS SUBS US EXT	Transdermal Patch
PARA.COMBI.   INCONNU	Unknown Combination
PATE          A USA.EXT.	Topical Paste
PATE        OR.SOL.INST.	Oral Paste
PATE ORAL TOPIQUE	Oral Topical Paste
PDR           A USA.EXT.	Powder for Topical Administration
PDR        NON US.HUMAIN	Powder for Administration not to Human Being
PDR DERMATO.  A USA.EXT.	Dermatological Powder
PDR DOS APP RECH PULMON.	Metered Dose Powder Inhaler
PDR DOS APP US.UN.PULMON.	Metered Dose Powder Inhaler
PDR DOSE        VAGINALE	Vaginal Powder
PDR DOSE      A USA.EXT.	Topical Powder
PDR DOSE     OR.SOL.RET.	Metered Dose Powder with Delayed Release
