CONCEPT_NAME	CONCEPT_ID_2
1-HEXADECANOL	42903557
2-PROPANOL	19028106
2,4-DICHLOROBENZYL ALCOHOL	36878731
2,4-DICHLOROBENZYL ALCOHOL	36878731
3-BROMO-D-CAMPHOR	43525920
ABIES PECTINATA	45774562
ABIES PECTINATA	45776815
ABIRATERONE ACETATE	40239056
ACACIA CATECHU	1718927
ACACIA CATECHU	45775957
ACACIA CATECHU	46233723
ACETYLSULFAFURAZOLE	1836503
ACRIFLAVINIUM	19095766
ADEFOVIR DIPIVOXIL	1729323
ADRENAL CORTEX	19061053
ADRENAL CORTEX	40221316
ADRENAL GLAND	35606172
ADRENAL GLAND	42898511
ADRENAL GLAND	42900123
AESCULUS HIPPOCASTANUM	42898418
AESCULUS HIPPOCASTANUM	42898419
AESCULUS HIPPOCASTANUM	42898420
AESCULUS HIPPOCASTANUM	44818465
AGROPYRON REPENS	42899045
AGROPYRON REPENS	42904070
AGROPYRON REPENS	46276249
AJUGA REPTANS	46234407
ALENDRONIC ACID	1557272
ALLIUM CEPA	42903612
ALLIUM SATIVUM	44507462
ALPHA HYDROXY ACIDS (UNSPECIFIED)	19056581
ALTIZIDE	19018435
AMFEPRAMONE	725822
AMINEPTINE	19032424
AMINOACIDS	19124969
AMINOPHENAZONE	19125628
ANAESTHETIC ETHER	36878634
ANANAS COMOSUS	44814613
ANDROGRAPHIS PANICULATA	44816334
ANEMONA PULSATILLA	42899909
ANGELICA ARCHANGELICA	42898326
ANGELICA ARCHANGELICA	42898327
ANTHEMIS NOBILIS	42898755
ANTHEMIS NOBILIS	42898756
ANTHOCYANOSIDE COMPLEX	43560689
ANTHOCYANOSIDE COMPLEX	45892870
ANTIOXIDANTS	44814271
APHLOIA THEAEFORMIS	43531916
ARCTIUM LAPPA	45776103
ARCTOSTAPHYLOS UVA-URSI	42900397
ARCTOSTAPHYLOS UVA-URSI	46275331
ARGANIA SPINOSA	43560010
ARGANIA SPINOSA	44507466
ARGANIA SPINOSA	45775819
ARISAEMA ATRORUBENS	42898354
ARMENIACA VULGARIS	42899953
ARMENIACA VULGARIS	43525913
ARMENIACA VULGARIS	44785751
ARONIA MELANOCARPA	42898284
ARONIA MELANOCARPA	42898361
ARTEMIA SALINA	43013524
ARTEMISIA VULGARIS	42904052
ARTEMISIA VULGARIS	43012160
ARTEMISIA VULGARIS	45776246
ARUNDO DONAX	42898308
ASCLEPIAS TUBEROSA	42898314
ASPERGILLUS ORIZAE	42898286
ATROPA BELLADONNA	42904121
ATROPA BELLADONNA	43012296
AURANTIIN	19080895
AVENA SATIVA	42898637
AVENA SATIVA	42898638
AVENA SATIVA	42903740
AZELAIC ACID	986790
BACILLUS (MISCELLANEOUS)	42898672
BACILLUS (MISCELLANEOUS)	42898675
BACILLUS (MISCELLANEOUS)	42903944
BAMBUSA	42898618
BAMBUSA	42898619
BAMBUSA	42898648
BAMBUSA	42898649
BAMBUSA	42903816
BAROSMA BETULINA	42898423
BATROXOBIN	46275880
BENZALKONIUM CHLORIDE	916460
BENZETHONIUM CHLORIDE	916802
BENZOIC ACID	711452
BERBERIS VULGARIS	42898631
BERBERIS VULGARIS	42898632
BERBERIS VULGARIS	42898633
BERBERIS VULGARIS	42904218
BERGAPTEN	19018285
BETULA ALBA	42898482
BETULA ALBA	42898483
BETULA ALBA	42898657
BETULA ALBA	43560479
BLOOD	36878742
BLOOD	42898537
BLOOD	42900127
BORAGO OFFICINALIS	42898507
BORAGO OFFICINALIS	42898508
BORAGO OFFICINALIS	45775985
BOVISTA GIGANTEA	42898775
BRAIN	36878668
BRAIN	42899868
BRAIN	42904235
BRAIN	44507483
BRASSICA CAMPESTRIS	42898547
BRASSICA NIGRA	36879069
BUTYLCAINE	939726
BUTYROSPERMUM PARKII	42899788
BUZEPIDE METHYLHYDROXIDE	19021822
CACAO BUTTER	951112
CADE OIL	42899466
CALADIUM	44012549
CALCITONIN (PORCINE)	42900359
CALENDULA OFFICINALIS	19071836
CALENDULA OFFICINALIS	42898557
CALENDULA OFFICINALIS	42898770
CALENDULA OFFICINALIS	42898771
CALENDULA OFFICINALIS	43532988
CALOPHYLLUM	42898558
CALOPHYLLUM	44785170
CAMELLIA SINENSIS	35606317
CAMELLIA SINENSIS	42898781
CAMELLIA SINENSIS	42898782
CAMELLIA SINENSIS	42904180
CAMELLIA SINENSIS	43012418
CANANGA LATIFOLIA	42898731
CANDESARTAN CILEXETIL	1351557
CANNABIS SATIVA	42898564
CANNABIS SATIVA	43533064
CAPTODIAME	19135828
CARDUUS BENEDICTUS	42903968
CARDUUS BENEDICTUS	43560077
CARICA PAPAYA	19016494
CARICA PAPAYA	42898743
CARTHAMUS TINCTORIUS	35603640
CARTHAMUS TINCTORIUS	42903887
CARTHAMUS TINCTORIUS	43526035
CARTHAMUS TINCTORIUS	44816323
CARTILAGE	19112547
CARTILAGE	42898514
CARTILAGE	42900133
CARUM CARVI	40172084
CARUM CARVI	42900378
CASEIN	44506785
CASSIA OCCIDENTALIS	44507644
CASTANEA VULGARIS	36249425
CASTANEA VULGARIS	42898750
CASTANEA VULGARIS	42898751
CAYAPONIA TAYUYA	19015636
CEFPODOXIME PROXETIL	1749008
CEFUROXIME AXETIL	1778162
CEREUS GRANDIFLORUS	35602851
CEREUS GRANDIFLORUS	42899770
CEREUS GRANDIFLORUS	42899771
CETALKONIUM	19059482
CETHEXONIUM	36878721
CETOSTEARYLIC ALCOHOL	42900366
CHASMANTHERA PALMATA	42899474
HELIANTHUS ANNUUS	43013654
HELIANTHUS ANNUUS	43532395
HERBAL	44012672
HERNIARIA GLABRA	44012673
HIBISCUS	35603645
HIBISCUS	42899098
HIBISCUS	42899099
HIBISCUS	42899100
HIBISCUS	42899101
HIBISCUS	43525863
HIBISCUS	46221282
HIPPOPHAE RHAMNOIDES	42899105
HIPPOPHAE RHAMNOIDES	42899121
HIPPOPHAE RHAMNOIDES	42899122
HIPPOPHAE RHAMNOIDES	42899123
HIPPOPHAE RHAMNOIDES	42904181
HONEY	19071840
HOUSE DUST	40161817
HOUSE DUST MITE	40161821
HOUSE DUST MITE	40161835
HYALURONIC ACID	787787
HYDROXYESTRONE DIACETATE	19077111
HYLAN GEL POLYSACCHARIDE	19069080
HYPERICUM PERFORATUM	42899138
HYPERICUM PERFORATUM	42899140
HYPOCHLOROUS ACID	44784806
HYPOPHOSPHOROUS ACID	43526754
HYPOPHYSIS	36879044
HYPOPHYSIS	36879071
HYPROLOSE	40220879
IBANDRONIC ACID	1512480
IGNATIA AMARA	36878930
ILEX AQUIFOLIUM	42899085
IMMUNOGLOBULIN ANTI-D (RHO)	36878861
IMMUNOGLOBULIN BASE	19117912
IMMUNOGLOBULIN BASE	42903696
IMMUNOGLOBULIN BASE	43531966
IMMUNOGLOBULIN BASE	44012674
INSULIN UNSPECIFIED BASE	1516976
INTERFERON (UNSPECIFIED)	713196
INTERFERON (UNSPECIFIED)	722424
INTERFERON (UNSPECIFIED)	1379969
INTERFERON (UNSPECIFIED)	1380068
INTERFERON (UNSPECIFIED)	1380191
INTERFERON (UNSPECIFIED)	1385645
INTERFERON (UNSPECIFIED)	1781314
INTERFERON (UNSPECIFIED)	19044394
INTERFERON (UNSPECIFIED)	19122123
INTERFERON (UNSPECIFIED)	42903737
IODINATED POPPYSEED OIL	19109079
IOPODIC ACID	19081385
IOXAGLIC ACID	19081316
IPRATROPIUM BROMIDE	1112921
ISOBORNEOL	43013518
ISOPRENALINE	1183554
ISOPROPAMIDE IODIDE	19058613
ISOSORBIDE MONONITRATE	1383815
JUGLANS REGIA	42903987
KELUAMID	950098
KERATIN	36878762
LABLAB PURPUREUS	44012613
LACTIC FERMENTS	987128
LACTOPROTEINES METHYLENIQUES	36879083
LACTOSERUM	35606401
LAURYL ETHER SULFATES	36878845
LAVANDULA HYBRIDA	42899497
LAVANDULA HYBRIDA	43526229
LAVANDULA LATIFOLIA	42899497
LAVANDULA LATIFOLIA	43526229
LAWSONIA INERMIS	42899500
LAWSONIA INERMIS	45776116
LEPIDIUM SATIVUM	35604867
LEPIDIUM SATIVUM	44818478
LEPIDIUM SATIVUM	46221692
LEPTANDRA VIRGINICA	42904295
LEUCOCIANIDOL	19007536
LEVOMENOL	19018634
LEVOMEPROMAZINE	19005147
LEVOTHYROXINE SODIUM	1501700
LINALOOL	43012184
LINOLEIC ACID	19100751
CHENODEOXYCHOLIC ACID	19052447
CHLORMETHINE	1394337
CHLORPHENAMINE	1192710
CHONDODENDRON TOMENTOSUM	42904050
CHONDROITINASE	1395573
CHONDROITINASE	42903714
CHORIOGONADOTROPIN ALFA	1563600
CHRYSANTHEMUM BALSAMITA	42898856
CIBENZOLINE	19045581
CICHORIUM INTYBUS	42898858
CICHORIUM INTYBUS	45774904
CIMICIFUGA RACEMOSA	36879176
CINCHOCAINE	923840
CINEOLE	19050346
CINNAMEIN	46234461
CINNAMOMUM CAMPHORA	42898866
CINNAMOMUM CAMPHORA	44785623
CINNAMOMUM CAMPHORA	45776124
CINNAMOMUM ZEYLANICUM	1307310
CITRULLUS COLOCYNTHIS	42898910
CITRULLUS COLOCYNTHIS	42904264
CITRULLUS COLOCYNTHIS	46276344
CITRUS AURANTIUM	42898445
CITRUS AURANTIUM	42898446
CITRUS AURANTIUM	42898447
CITRUS AURANTIUM	42898449
