10	N05CA06	SECOBARBITAL	28:24.0	BARBITURATES
100	J01CE01	BENZYLPENICILLIN	08:12.16.04	NATURAL PENICILLINS
1000	V06DX	OTHER COMBINATIONS OF NUTRIENTS	92:03.00*	GLANDS AND OTHER FOODS
10002	L02BA01	TAMOXIFEN	10:00.0	ANTINEOPLASTIC AGENTS
10003	L02BA01	TAMOXIFEN	10:00.0	ANTINEOPLASTIC AGENTS
10004	N01BB52	"LIDOCAINE, COMBINATIONS"	12:00.0	LOCAL ANESTHETICS
10005	N01BB52	"LIDOCAINE, COMBINATIONS"	12:00.0	LOCAL ANESTHETICS
10006	N01BB52	"LIDOCAINE, COMBINATIONS"	12:00.0	LOCAL ANESTHETICS
10007	N01BB52	"LIDOCAINE, COMBINATIONS"	12:00.0	LOCAL ANESTHETICS
10011	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
10012	M02AC	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES	28:08.0	NONSTEROIDAL ANTI-INFLAMMATORY AGENTS
10014			24:08.0	ANTIPRURITICS AND LOCAL ANESTHETICS
10018	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
10019	C01EB09	UBIDECARENONE	88:30.00*	OTHER NUTRITIONAL AGENTS
1002			92:03.00*	GLANDS AND OTHER FOODS
10021	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
10027	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
10028	A12AX	"CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS"	88:28.01*	VITAMINS & MINERALS
1003			92:03.00*	GLANDS AND OTHER FOODS
10038	N01BB03	MEPIVACAINE	12:00.0	LOCAL ANESTHETICS
10039	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
1004			92:03.00*	GLANDS AND OTHER FOODS
10043	B05BB02	ELECTROLYTES WITH CARBOHYDRATES	40:12.0	REPLACEMENT PREPARATIONS
10046			92:02.00*	HOMEOPATHIC PRODUCTS
10047	D08AC52	"CHLORHEXIDINE, COMBINATIONS"	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
10048	B05ZA	"HEMODIALYTICS, CONCENTRATES"	40:34.00*	HEMODIALYSIS SOLUTION
10049	R03BA01	BECLOMETASONE	08:04.0	ADRENALS
1005	A11HA03	TOCOPHEROL (VIT E)	28:20.0	VITAMIN E
10050	B05ZA	"HEMODIALYTICS, CONCENTRATES"	40:34.00*	HEMODIALYSIS SOLUTION
10051	B02BD02	COAGULATION FACTOR VIII	20:28.2	HEMOSTATICS
10053	A11JB	VITAMINS WITH MINERALS		
10055	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
10056			88:28.01*	VITAMINS & MINERALS
10057	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
10058	A11EB	VITAMIN B-COMPLEX WITH VITAMIN C	28:08.0	VITAMIN B COMPLEX
10058	A11EB	VITAMIN B-COMPLEX WITH VITAMIN C	28:12.0	VITAMIN C
1006	A11HA02	PYRIDOXINE (VIT B6)	28:08.0	VITAMIN B COMPLEX
10060	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
10061	H02AB02	DEXAMETHASONE	08:04.0	ADRENALS
10065	A01AB11	VARIOUS	34:00.0	DENTAL AGENTS
10069	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
1007	A11HA03	TOCOPHEROL (VIT E)	28:20.0	VITAMIN E
10070			92:02.00*	HOMEOPATHIC PRODUCTS
10071	A12CX	OTHER MINERAL PRODUCTS	88:29.00*	MINERALS
10073	A11EA	"VITAMIN B-COMPLEX, PLAIN"	28:08.0	VITAMIN B COMPLEX
10075			92:02.00*	HOMEOPATHIC PRODUCTS
10076			92:02.00*	HOMEOPATHIC PRODUCTS
10077			92:02.00*	HOMEOPATHIC PRODUCTS
10078			92:02.00*	HOMEOPATHIC PRODUCTS
10079			92:02.00*	HOMEOPATHIC PRODUCTS
1008	G03CA57	CONJUGATED ESTROGENS	08:16.0	ESTROGENS
10080			92:02.00*	HOMEOPATHIC PRODUCTS
10081			92:02.00*	HOMEOPATHIC PRODUCTS
10082			92:02.00*	HOMEOPATHIC PRODUCTS
10083			92:02.00*	HOMEOPATHIC PRODUCTS
10084			92:02.00*	HOMEOPATHIC PRODUCTS
10085			92:02.00*	HOMEOPATHIC PRODUCTS
10086			92:02.00*	HOMEOPATHIC PRODUCTS
10087			92:02.00*	HOMEOPATHIC PRODUCTS
10088			92:02.00*	HOMEOPATHIC PRODUCTS
10089			92:02.00*	HOMEOPATHIC PRODUCTS
1009	N05AB02	FLUPHENAZINE	28:16.08.24	PHENOTHIAZINES
10090			92:02.00*	HOMEOPATHIC PRODUCTS
10091			92:02.00*	HOMEOPATHIC PRODUCTS
10092			92:02.00*	HOMEOPATHIC PRODUCTS
10093			92:02.00*	HOMEOPATHIC PRODUCTS
10094			92:02.00*	HOMEOPATHIC PRODUCTS
10095			92:02.00*	HOMEOPATHIC PRODUCTS
10096			92:02.00*	HOMEOPATHIC PRODUCTS
10097			92:02.00*	HOMEOPATHIC PRODUCTS
10098			92:02.00*	HOMEOPATHIC PRODUCTS
10099			92:02.00*	HOMEOPATHIC PRODUCTS
101	G03CA57	CONJUGATED ESTROGENS	08:16.0	ESTROGENS
10100			92:02.00*	HOMEOPATHIC PRODUCTS
10101			92:02.00*	HOMEOPATHIC PRODUCTS
10102			92:02.00*	HOMEOPATHIC PRODUCTS
10103			92:02.00*	HOMEOPATHIC PRODUCTS
10104			92:02.00*	HOMEOPATHIC PRODUCTS
10105			92:02.00*	HOMEOPATHIC PRODUCTS
10106			92:02.00*	HOMEOPATHIC PRODUCTS
10107			92:02.00*	HOMEOPATHIC PRODUCTS
10108			92:02.00*	HOMEOPATHIC PRODUCTS
10109			92:02.00*	HOMEOPATHIC PRODUCTS
10110			92:02.00*	HOMEOPATHIC PRODUCTS
10111	B02BD02	COAGULATION FACTOR VIII	20:28.2	HEMOSTATICS
10112	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	04:04.2	PROPYLAMINE DERIVATIVES
10112	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
10113	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
10118	D08AG03	IODINE	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
10119			92:01.00*	HERBS AND NATURAL PRODUCTS
1012	A11HA03	TOCOPHEROL (VIT E)	28:20.0	VITAMIN E
10120			32:00.0	MISCELLANEOUS THERAPEUTIC AGENTS
10121			92:02.00*	HOMEOPATHIC PRODUCTS
10122			92:02.00*	HOMEOPATHIC PRODUCTS
10123	R03BA01	BECLOMETASONE	08:04.0	ADRENALS
10124	R03AC02	SALBUTAMOL	12:12.08.12	SELECTIVE BETA 2-ADRENERGIC AGONISTS
10125	R03AC02	SALBUTAMOL	12:12.08.12	SELECTIVE BETA 2-ADRENERGIC AGONISTS
10129	R03AC16	PROCATEROL	12:12.0	SYMPATHOMIMETIC (ADRENERGIC) AGENTS
1013	J01XE01	NITROFURANTOIN	08:36.0	URINARY ANTI-INFECTIVES
10130	J01DD01	CEFOTAXIME	08:12.06.12	THIRD GENERATION CEPHALOSPORINS
10132	N01BB52	"LIDOCAINE, COMBINATIONS"	12:00.0	LOCAL ANESTHETICS
10133	N01BB52	"LIDOCAINE, COMBINATIONS"	12:00.0	LOCAL ANESTHETICS
1014	A14AA05	OXYMETHOLONE	08:08.0	ANDROGENS
10141	D05AA	TARS	24:28.0	KERATOLYTIC AGENTS
10141	D05AA	TARS	24:32.0	KERATOPLASTIC AGENTS
10142	D05AA	TARS	24:28.0	KERATOLYTIC AGENTS
10142	D05AA	TARS	24:32.0	KERATOPLASTIC AGENTS
10145	D08AC02	CHLORHEXIDINE	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
10146	S01CA03	HYDROCORTISONE AND ANTIINFECTIVES	52:04.0	ANTIBACTERIALS
10146	S01CA03	HYDROCORTISONE AND ANTIINFECTIVES	52:08.0	ANTI-INFLAMMATORY AGENTS
10147	N02CA52	"ERGOTAMINE, COMBINATIONS EXCL. PSYCHOLEPTICS"	12:16.0	SYMPATHOLYTIC (ADRENERGIC BLOCKING) AGENTS
10149	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
10150	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
10153	A11HA03	TOCOPHEROL (VIT E)	28:20.0	VITAMIN E
10156	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
10157	D06AX55	"BACITRACIN, COMBINATIONS"	24:04.0	ANTIBIOTICS
10157	D06AX55	"BACITRACIN, COMBINATIONS"	24:08.0	ANTIPRURITICS AND LOCAL ANESTHETICS
10158	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
10159	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	04:04.0	ETHANOLAMINE DERIVATIVES
10159	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
10160	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.1	OPIATE AGONISTS
10160	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	48:08.0	ANTITUSSIVES
10161	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	04:04.0	ETHANOLAMINE DERIVATIVES
10161	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
10162	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	12:12.0	SYMPATHOMIMETIC (ADRENERGIC) AGENTS
10162	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
10163	D06AX04	NEOMYCIN	24:04.0	ANTIBIOTICS
10164	R05DA20	COMBINATIONS	48:08.0	ANTITUSSIVES
10171	D07AC03	DESOXIMETASONE	24:06.0	ANTI-INFLAMMATORY AGENTS
10172	N01BB02	LIDOCAINE	12:00.0	LOCAL ANESTHETICS
10174	A11CA02	BETA-CAROTENE	28:04.0	VITAMIN A
10175	J01CA02	PIVAMPICILLIN	08:12.16.08	AMINOPENICILLINS
10176	J01GB01	TOBRAMYCIN	08:12.0	AMINOGLYCOSIDES
10178	A12CB02	ZINC GLUCONATE	88:29.00*	MINERALS
10179	A11JC	"VITAMINS, OTHER COMBINATIONS"	28:20.0	VITAMIN E
10179	A11JC	"VITAMINS, OTHER COMBINATIONS"	88:30.00*	OTHER NUTRITIONAL AGENTS
1018	D07AC15	BECLOMETASONE	24:06.0	ANTI-INFLAMMATORY AGENTS
10181	A11EB	VITAMIN B-COMPLEX WITH VITAMIN C	28:08.0	VITAMIN B COMPLEX
10181	A11EB	VITAMIN B-COMPLEX WITH VITAMIN C	28:12.0	VITAMIN C
10184	M01AE02	NAPROXEN	28:08.04.92	OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS
10185	A07BC04	ATTAPULGITE	56:08.0	ANTIDIARRHEA AGENTS
10187	A06AB56	"SENNA GLYCOSIDES, COMBINATIONS"	56:12.0	CATHARTICS AND LAXATIVES
10187	A06AB56	"SENNA GLYCOSIDES, COMBINATIONS"	92:01.00*	HERBS AND NATURAL PRODUCTS
10189	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
1019	N05AC03	MESORIDAZINE	28:16.08.24	PHENOTHIAZINES
10190	A11HA03	TOCOPHEROL (VIT E)	28:20.0	VITAMIN E
10192			56:24.0	LIPOTROPIC AGENTS
10193	R05FA02	OPIUM DERIVATIVES AND EXPECTORANTS	48:08.0	ANTITUSSIVES
10194	N02BA51	"ACETYLSALICYLIC ACID, COMB EXCL PSYCHOLEPTICS"	34:00.0	DENTAL AGENTS
10197	A07BC04	ATTAPULGITE	56:08.0	ANTIDIARRHEA AGENTS
10198	A07BC04	ATTAPULGITE	56:08.0	ANTIDIARRHEA AGENTS
102	V03AB04	PRALIDOXIME	32:12.0	ANTIDOTES
10201	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
10203	B05ZA	"HEMODIALYTICS, CONCENTRATES"	40:34.00*	HEMODIALYSIS SOLUTION
10204	N05BE01	BUSPIRONE	28:24.9	MISCELLANEOUS ANXIOLYTICS SEDATIVES AND HYPNOTICS
10208	A02BA02	RANITIDINE	56:28.1	HISTAMINE H2-ANTAGONISTS
10209	R03AC02	SALBUTAMOL	12:12.08.12	SELECTIVE BETA 2-ADRENERGIC AGONISTS
