10022	CRUSTACEANS	LOBSTERS
10022	FINFISH	SALMONIDS
10023	DOGS	
10033	CATTLE	CALVES
10033	POULTRY	CHICKENS
10033	POULTRY	TURKEYS
10033	SHEEP	
10033	SWINE (PIGS)	
10053	CATTLE	DAIRY CATTLE
10072	DOG OR CAT	
1010	CATTLE	COWS-LACTATING
1011	HORSES	
1011	POULTRY	
1011	SWINE (PIGS)	
10127	CATTLE	DAIRY CATTLE
1015	SWINE (PIGS)	
10167	POULTRY	BREEDER CHICKENS
10167	POULTRY	BROILER CHICKENS
10167	POULTRY	REPLACEMENT CHICKENS
10167	SWINE (PIGS)	
1017	DOGS	
10191	CATS	
10191	CATTLE	
10191	DOGS	
10191	HORSES	
10191	POULTRY	CHICKS
10191	POULTRY	TURKEYS
10191	SWINE (PIGS)	PIGLETS
10199	CATTLE	
10199	SHEEP	
10199	SWINE (PIGS)	
1020	CATTLE	
1020	HORSES	
1020	SHEEP	
10207	POULTRY	
10219	CATS	
10219	DOGS	
10219	HORSES	
10220	CATTLE	
10220	HORSES	
10221	GENERAL - MISC.	
10223	CATTLE	COWS-LACTATING
1023	CATTLE	
1023	POULTRY	
10293	POULTRY	CHICKENS
10293	POULTRY	TURKEYS
10293	SWINE (PIGS)	
10295	CATTLE	COWS-DRY
10305	CATTLE	
10305	DOG OR CAT	
10305	HORSES	
10306	DOG OR CAT	
10306	HORSES	
10381	DOG OR CAT	
10424	CATS	
10424	DOGS	
10455	CATTLE	DAIRY CATTLE
10470	CATTLE	
10470	HORSES	
10470	SWINE (PIGS)	
10481	CATS	
10481	DOGS	
10510	CATS	
10510	DOGS	
10527	HORSES	
10528	DOGS	
10529	DOGS	
10530	DOG OR CAT	
10532	CATS	
10532	DOGS	
10536	DOG OR CAT	
10540	CATTLE	DAIRY CATTLE
10574	CATTLE	BEEF CATTLE
10574	CATTLE	CALVES
10574	POULTRY	CHICKENS
10574	POULTRY	TURKEYS
10574	SHEEP	LAMB
10574	SWINE (PIGS)	
10576	CATS	
10576	DOGS	
10577	CATS	
10577	DOGS	
