concept_code_1	concept_name_1	concept_class_id_1	concept_id_2	concept_name_2	precedence
DPD102839	Dock	Ingredient	42709315	pale dock pollen extract	1
DPD102839	Dock	Ingredient	40228117	bitter dock pollen extract	2
DPD102839	Dock	Ingredient	40228792	white (mexican) dock pollen extract	3
DPD102839	Dock	Ingredient	40162170	yellow dock pollen extract	4
DPD115083	Sumach	Ingredient	46276350	Rhus spp whole extract	1
DPD100353	Cahinca	Ingredient	46275554	Chiococca alba root extract	1
DPD107159	Linaria Canadensis	Ingredient	46234337	Linaria vulgaris extract	1
DPD101213	Cimicifuga Racemosa	Ingredient	46233901		1
DPD98170	Amygdalus Persica	Ingredient	46233877	Peach juice	1
DPD111385	Pitcher Plant	Ingredient	46221620	Sarracenia purpurea extract	1
DPD101526	Coccinella Septempunctata	Ingredient	46221576	Coccinella septempunctata preparation	1
DPD110733	Parotid Gland Tissue	Ingredient	45892611		1
DPD116227	Toxicophis Pugnax	Ingredient	45892383	Cottonmouth venom	1
DPD109986	Ocimum Sanctum	Ingredient	45776905	Ocimum africanum leaf extract	1
DPD108843	Myristica Oil	Ingredient	45776901	Myristica fragrans whole extract	1
DPD111431	Plectranthus Fruticosus	Ingredient	45776878	Plectranthus barbatus whole extract	1
DPD99494	Baryta Iodata	Ingredient	45776742	barium iodate	1
DPD113262	Rhizoma Alismatis	Ingredient	45776741	Alisma plantago-aquatica whole extract	1
DPD115563	Teucrium Scorodonia	Ingredient	45776474	Teucrium scorodonia whole extract	1
DPD111420	Platina Homeo Chemical	Ingredient	45776472	platinic chloride	1
DPD115904	Thiosinamine	Ingredient	45775986	Brassica juncea seed oil	1
DPD114751	Spinach	Ingredient	45775818	Spinacia oleracea root extract	1
DPD114750	Spilanthes Oleracea	Ingredient	45775608	Acmella oleracea whole extract	1
DPD109059	Neisseria Catarrhalis	Ingredient	45775445	MORAXELLA CATARRHALIS SUBSP. CATARRHALIS	1
DPD114144	Sedum Telephium	Ingredient	45774950	Sedum roseum whole extract	1
DPD98858	Argemone Mexicana	Ingredient	44818508	Argemone mexicana extract	1
DPD113978	Sanguinarina Nitrica	Ingredient	44818507	sanguinarine	1
DPD113731	"Salix Vitellina, Flos"	Ingredient	44816296	Salix alba flower extract	1
DPD114975	Strophanthus Sarmentosus	Ingredient	44814447	Strophanthus kombe whole extract	1
DPD110517	Ox Lip Flower	Ingredient	44785730	PRIMULA VERIS FLOWER EXTRACT	1
DPD114380	Sinapis Alba	Ingredient	44785494	white mustard seed extract	1
DPD99492	Baryta Acetica	Ingredient	44785147	Barium Acetate	1
DPD101894	Corylus Avellana	Ingredient	44784749	Common hazel pollen extract	1
DPD111890	Polygonum Punctatum	Ingredient	44507756	Persicaria punctata extract	1
DPD100264	Burnet	Ingredient	44507634	Sanguisorba officinalis whole extract	1
DPD110370	Oreodaphne Californica	Ingredient	44507595	Litsea cubeba fruit extract	1
DPD107547	"Malus Pumila, Flos"	Ingredient	44507587	Malus domestica whole extract	1
DPD102606	Dictamnus Albus	Ingredient	44507537	Dictamnus dasycarpus whole extract	1
DPD97675	Agaricus Emeticus	Ingredient	44506795	Russula emetica preparation	1
DPD111418	Platanus Orientalis	Ingredient	44506776	Platanus occidentalis whole extract	1
DPD114951	Streptococcus Non-Hemolytic	Ingredient	43563438	streptococcus faecalis	1
DPD113628	Rupatadine Fumarate	Ingredient	43563399	rupatadine fumarate	1
DPD104412	Formica	Ingredient	43563358	formica rufa extract	1
DPD104413	Formica Rufa	Ingredient	43563358	formica rufa extract	1
DPD107601	Manna	Ingredient	43563283	manna	1
DPD110427	Orthosiphon Leaf	Ingredient	43563238	orthosiphon leaf extract	1
DPD101711	Common Bean Garden	Ingredient	43563152	phaseolus vulgaris extract	1
DPD101548	Codonopsitis	Ingredient	43560329	codonopsis lanceolata root extract	1
DPD116522	Tussilago Fragrans	Ingredient	43533053	Petasites fragrans extract	1
DPD111333	Pilewort Herb	Ingredient	43532999	Erechtites hieraciifolius extract	1
DPD106482	Juglans Pulv	Ingredient	43532432	juglans regia shell extract	1
DPD117713	Zizyphus Spinosa	Ingredient	43532231	Ziziphus extract	1
DPD112475	Psorinum	Ingredient	43532163	SCABIES LESION LYSATE (HUMAN)	1
DPD107582	Manganese Organic Complex	Ingredient	43532017	Magnesium Cation	1
DPD106823	Lachnanthes Tinctoria	Ingredient	43531987	Lachnanthes caroliniana extract	1
DPD100706	Cassia Alata	Ingredient	43526359	Senna alata whole extract	1
DPD109301	Ningo Figwort Root	Ingredient	43526357	Scrophularia ningpoensis root extract	1
DPD114639	Solomon'S Seal	Ingredient	43525911	Polygonatum biflorum root etxract	1
DPD113263	Rhizoma Atractylodis	Ingredient	43525881	Atractylodes macrocephala root extract	1
DPD114174	Selenium Yeast	Ingredient	43252063	High Selenium Yeast	1
DPD107858	Medusa	Ingredient	43252049	Box Jellyfish Antivenom	1
DPD98205	Anatherum Muricatum	Ingredient	43126084	Anantherum muricatum for homeopathic preparations	1
DPD98183	Anacardium Orientale	Ingredient	43126072	Anacardium Orientale for homeopathic preparations	1
DPD106862	Ladyslipper	Ingredient	43126066	Cypripedium Pubescens for homeopathic preparations	1
DPD105266	Heracleum Sphondylium	Ingredient	43126064	Heracleum sphondylium for homeopathic preparations	1
DPD97698	Agraphis Nutans	Ingredient	43126056	Agraphis Nutans for homeopathic preparations	1
DPD99029	Aspidium	Ingredient	43126053	Aspidium Filix Mas for homeopathic preparations	1
DPD97762	Alchemilla Vulgaris	Ingredient	43126049	Alchemilla Vulgaris for homeopathic preparations	1
DPD98057	Ambra Grisea	Ingredient	43126028	Ambra Grisea for homeopathic preparations	1
DPD105201	Helonias	Ingredient	43126018	Helonias Dioica for homeopathic preparations	1
DPD100366	Caladium Seguinum	Ingredient	43126006	Caladium seguinum for homeopathic preparations	1
DPD111413	Plasmafibronectin	Ingredient	43125990	Fibronectin	1
DPD110591	Outer Membrane Vesicles (Neisseria Meningitidis Group B Nz98/254 Strain)	Ingredient	43125956	Neisseria meningitidis Group B Membrane vesicles External Omv	1
DPD104908	Gnaphalium Polycephalum	Ingredient	43125948	Gnaphalium polycephalum for homeopathic preparations	1
DPD113240	Rhamnus Californica	Ingredient	43125917	Rhamnus Frangula for homeopathic preparations	1
DPD113665	Sabadilla	Ingredient	43125907	Sabadilla for homeopathic preparations	1
DPD111869	Polistes Spp Venom Protein Extract	Ingredient	43125905	Polistes wasp venom	1
DPD114891	Sticta Pulmonaria	Ingredient	43125871	Sticta Pulmonaria for homeopathic preparations	1
DPD114521	Sodium Auro-Chloride	Ingredient	43014194	tetrachloroaurate	1
DPD114580	Sodium Tetrachloroaurate(Iii)	Ingredient	43014194	tetrachloroaurate	1
DPD115322	Tallow	Ingredient	43013945	beef tallow preparation	1
DPD100829	Centaurium Umbellatum	Ingredient	43013538	Centaurium erythraea preparation	1
DPD100830	"Centaurium Umbellatum, Flos"	Ingredient	43013538	Centaurium erythraea preparation	1
DPD116395	Trifolium	Ingredient	43013016	Trifolium pratense leaf extract	1
DPD105544	Hura Brasiliensis	Ingredient	43012733	Hura crepitans sap extract	1
DPD116891	Various Types Mixture	Ingredient	43012408		1
DPD102768	Diplococcus	Ingredient	43012408		1
DPD113766	Sambucus Ebulus	Ingredient	43012403	Sambucus nigra whole extract	1
DPD100007	Blessed Thistle	Ingredient	43012336	Cnicus Benedictus extract	1
DPD101493	Cnicus Benedictus	Ingredient	43012336	Cnicus Benedictus extract	1
DPD113624	Rumex Obtusifolius	Ingredient	43012310	Rumex acetosa whole extract	1
DPD103631	Eschscholtzia Californica	Ingredient	42904296	Eschscholzia californica extract	1
DPD116005	Tiger Lily	Ingredient	42904260	Lilium lancifolium whole extract	1
DPD114185	Semen Biotae Orientalis	Ingredient	42904249	Thuja occidentalis whole extract	1
DPD115945	Thuja Lobbi	Ingredient	42904249	Thuja occidentalis whole extract	1
DPD115841	Thea Sinensis	Ingredient	42904180	Camellia sinensis whole extract	1
DPD98790	Apricot	Ingredient	42904131	apricot extract	1
DPD113310	Rhus Aromatica	Ingredient	42904126	Rhus aromatica root bark extract	1
DPD98098	Ammi Visnaga	Ingredient	42904123	Ammi visnaga fruit extract	1
DPD103545	Epiphegus Virginiana	Ingredient	42904122	Epifagus virginiana extract	1
