CONCEPT_CODE	AIC	CONCEPT_NAME	INGREDIENT	AMOUNT_VALUE	AMOUNT_UNIT	DENOMINATOR_VALUE	DENOMINATOR_UNIT	NUMERATOR_VALUE	NUMERATOR_UNIT	NOTES	DRUG_CODE	BRAND_NAME	NUMBER_OF_AIS	INVALID_REASON
75108	7826	BOTULINUM ANTITOXIN 8500UNIT BOTULISM ANTITOXIN TRIVALENT TYPES A B E	BOTULINUM ANTITOXIN	8500	UNIT					8500 IU OF TYPE E	75108	BOTULISM ANTITOXIN TRIVALENT TYPES A B E	3	D
75108	7826	BOTULINUM ANTITOXIN 7500UNIT BOTULISM ANTITOXIN TRIVALENT TYPES A B E	BOTULINUM ANTITOXIN	7500	UNIT					HISTORIC FREEFORM TEXT: BOTULINUM ANTITOXIN ((TYPE A B E)) 7500 IU OF TYPE A	75108	BOTULISM ANTITOXIN TRIVALENT TYPES A B E	3	D
75108	7826	BOTULINUM ANTITOXIN 5500UNIT BOTULISM ANTITOXIN TRIVALENT TYPES A B E	BOTULINUM ANTITOXIN	5500	UNIT					5500 IU OF TYPE B	75108	BOTULISM ANTITOXIN TRIVALENT TYPES A B E	3	D
335207	10259	CHLORPHENIRAMINE MALEATE TABLET[ANA-KIT] ANAKIT INSECT STING TREATMENT KIT	CHLORPHENIRAMINE MALEATE	2	MG					Historic Freeform Text: CHLORPHENIRAMINE MALEATE ((AS TAB))	335207	ANAKIT INSECT STING TREATMENT KIT	2	D
335207	8926	EPINEPHRINE POWDER FOR SOLUTION[ANA-KIT] ANAKIT INSECT STING TREATMENT KIT	EPINEPHRINE	1	MG					Historic Freeform Text: EPINEPHRINE	335207	ANAKIT INSECT STING TREATMENT KIT	2	D
284009	8450	AMPICILLIN CAPSULE[PRO BIOSAN KIT] PRO BIOSAN KIT	PROBENECID	500	MG					Historic Freeform Text: AMPICILLIN ((AS CAP))	284009	PRO BIOSAN KIT	2	D
284009	9108	PROBENECID TABLET[PRO BIOSAN KIT] PRO BIOSAN KIT	AMPICILLIN	500	MG					Historic Freeform Text: PROBENECID ((AS TAB))	284009	PRO BIOSAN KIT	2	D
538590	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 10/11 TABLETS (21 DAY)	NORETHINDRONE	1	MG					Historic Freeform Text: NORETHINDRONE ((AS PEACH TAB))	538590	ORTHO 10/11 TABLETS (21 DAY)	4	D
538590	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 10/11 TABLETS (21 DAY)	NORETHINDRONE	0.5	MG					Historic Freeform Text: NORETHINDRONE ((AS WHITE TAB))	538590	ORTHO 10/11 TABLETS (21 DAY)	4	D
538590	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 10/11 TABLETS (21 DAY)	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((AS WHITE TAB))	538590	ORTHO 10/11 TABLETS (21 DAY)	4	D
538590	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 10/11 TABLETS (21 DAY)	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((AS PEACH TAB))	538590	ORTHO 10/11 TABLETS (21 DAY)	4	D
538582	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 10/11 TABLETS (28 DAY)	NORETHINDRONE	1	MG					Historic Freeform Text: NORETHINDRONE ((AS PEACH TAB))	538582	ORTHO 10/11 TABLETS (28 DAY)	4	D
538582	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 10/11 TABLETS (28 DAY)	NORETHINDRONE	0.5	MG					Historic Freeform Text: NORETHINDRONE ((AS WHITE TAB))	538582	ORTHO 10/11 TABLETS (28 DAY)	4	D
538582	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 10/11 TABLETS (28 DAY)	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((AS WHITE TAB))	538582	ORTHO 10/11 TABLETS (28 DAY)	4	D
538582	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 10/11 TABLETS (28 DAY)	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((AS PEACH TAB))	538582	ORTHO 10/11 TABLETS (28 DAY)	4	D
602957	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 7/7/7 TABLETS (21 DAY)	NORETHINDRONE	1	MG					Historic Freeform Text: NORETHINDRONE ((AS DK PEACH TAB))	602957	ORTHO 7/7/7 TABLETS (21 DAY)	6	
602957	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.75MG ORTHO 7/7/7 TABLETS (21 DAY)	NORETHINDRONE	0.75	MG					Historic Freeform Text: NORETHINDRONE ((AS LT PEACH TAB))	602957	ORTHO 7/7/7 TABLETS (21 DAY)	6	
602957	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 7/7/7 TABLETS (21 DAY)	NORETHINDRONE	0.5	MG					HISTORIC FREEFORM TEXT: NORETHINDRONE ((AS WHITE TAB))	602957	ORTHO 7/7/7 TABLETS (21 DAY)	6	
602957	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 7/7/7 TABLETS (21 DAY)	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((AS WHITE TAB))	602957	ORTHO 7/7/7 TABLETS (21 DAY)	6	
602957	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.75MG ORTHO 7/7/7 TABLETS (21 DAY)	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((AS LT PEACH TAB))	602957	ORTHO 7/7/7 TABLETS (21 DAY)	6	
602957	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 7/7/7 TABLETS (21 DAY)	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((AS DK PEACH TAB))	602957	ORTHO 7/7/7 TABLETS (21 DAY)	6	
602965	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 7/7/7 TABLETS (28 DAY)	NORETHINDRONE	1	MG					Historic Freeform Text: NORETHINDRONE ((AS DK PEACH TAB))	602965	ORTHO 7/7/7 TABLETS (28 DAY)	6	
602965	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.75MG ORTHO 7/7/7 TABLETS (28 DAY)	NORETHINDRONE	0.75	MG					Historic Freeform Text: NORETHINDRONE ((AS LT PEACH TAB))	602965	ORTHO 7/7/7 TABLETS (28 DAY)	6	
602965	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 7/7/7 TABLETS (28 DAY)	NORETHINDRONE	0.5	MG					Historic Freeform Text: NORETHINDRONE ((AS WHITE TAB))	602965	ORTHO 7/7/7 TABLETS (28 DAY)	6	
602965	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG ORTHO 7/7/7 TABLETS (28 DAY)	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((AS WHITE TAB))	602965	ORTHO 7/7/7 TABLETS (28 DAY)	6	
602965	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.75MG ORTHO 7/7/7 TABLETS (28 DAY)	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((AS LT PEACH TAB))	602965	ORTHO 7/7/7 TABLETS (28 DAY)	6	
602965	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG ORTHO 7/7/7 TABLETS (28 DAY)	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((AS DK PEACH TAB))	602965	ORTHO 7/7/7 TABLETS (28 DAY)	6	
620947	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG SYNPHASIC 21 TABLETS	NORETHINDRONE	1	MG					Historic Freeform Text: NORETHINDRONE ((WHITE TAB))	620947	SYNPHASIC 21 TABLETS	4	D
620947	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG SYNPHASIC 21 TABLETS	NORETHINDRONE	0.5	MG					Historic Freeform Text: NORETHINDRONE ((BLUE TAB))	620947	SYNPHASIC 21 TABLETS	4	D
620947	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG SYNPHASIC 21 TABLETS	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((WHITE TAB))	620947	SYNPHASIC 21 TABLETS	4	D
620947	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG SYNPHASIC 21 TABLETS	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((BLUE TAB))	620947	SYNPHASIC 21 TABLETS	4	D
695734	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG SYNPHASIC-28 TABLETS	NORETHINDRONE	1	MG					Historic Freeform Text: NORETHINDRONE ((WHITE TAB))	695734	SYNPHASIC-28 TABLETS	4	D
695734	7500	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG SYNPHASIC-28 TABLETS	NORETHINDRONE	0.5	MG					HISTORIC FREEFORM TEXT: NORETHINDRONE ((BLUE TAB))	695734	SYNPHASIC-28 TABLETS	4	D
695734	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 0.5MG SYNPHASIC-28 TABLETS	ETHINYL ESTRADIOL	0.035	MG					Historic Freeform Text: ETHINYL ESTRADIOL ((BLUE TAB))	695734	SYNPHASIC-28 TABLETS	4	D
695734	7426	ETHINYL ESTRADIOL 0.035MG/ NORETHINDRONE 1MG SYNPHASIC-28 TABLETS	ETHINYL ESTRADIOL	0.035	MG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((WHITE TAB))	695734	SYNPHASIC-28 TABLETS	4	D
677558	11435	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH	THROMBIN (BOVINE)			1	ML	504	UNIT	HISTORIC FREEFORM TEXT: THROMBIN 500 ((FREEZE-DRIED BOVINE))	677558	TISSEEL KIT VH	9	D
677558	6603	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH	PLASMINOGEN	120	MCG					HISTORIC FREEFORM TEXT: PLASMINOGEN ((AS BOTTLE))	677558	TISSEEL KIT VH	9	D
677558	11566	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH	PLASMAFIBRONECTIN	9	MG					HISTORIC FREEFORM TEXT: PLASMAFIBRONECTIN ((AS BOTTLE))	677558	TISSEEL KIT VH	9	D
677558	17119	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH	FIBRINOGEN (HUMAN)	110	MG					HISTORIC FREEFORM TEXT: FIBRINOGEN ((AS BOTTLE))	677558	TISSEEL KIT VH	9	D
677558	11246	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH	FACTOR XIII	50	UNIT					HISTORIC FREEFORM TEXT: FACTOR XIII ((AS BOTTLE))	677558	TISSEEL KIT VH	9	D
677558	51	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH	CALCIUM CHLORIDE			1	ML	40	MMOL	HISTORIC FREEFORM TEXT: CALC. CHLOR. ((AS SOL))	677558	TISSEEL KIT VH	9	D
