CONCEPT_CODE_1	CONCEPT_NAME_1	CONCEPT_CLASS_ID_1	CONCEPT_CODE_2	CONCEPT_NAME_2	CONCEPT_CLASS_ID_2	CONCEPT_ID_2	INVALID_REASON_2	PRECEDENCE	CONVERSION_FACTOR
OMOP103688	COLLYRE BLEU LAITER	Brand Name	OMOP435584	COLLYRE BLEU LAITER	Brand Name	43126399		1	
OMOP102627	CHAMOMILLA VULGARIS	Ingredient	OMOP432809	Chamomilla Vulgaris for homeopathic preparations	Ingredient	43125877		1	
OMOP101491	BOVISTA	Ingredient	OMOP432816	Bovista Gigantea for homeopathic preparations	Ingredient	43125884		1	
OMOP99554	ARUM DRACONTIUM	Ingredient	OMOP432822	Arum Dracunculus for homeopathic preparations	Ingredient	43125890		1	
OMOP100326	BADIAGA	Ingredient	OMOP432826	Badiaga for homeopathic preparations	Ingredient	43125894		1	
OMOP103708	COLPRONE	Brand Name	OMOP435653	COLPRONE	Brand Name	43126406		1	
OMOP101687	BUCKTHORN	Ingredient	OMOP432852	Rhamnus Frangula for homeopathic preparations	Ingredient	43125917		1	
OMOP103015	CINA	Ingredient	OMOP432859	Cina for homeopathic preparations	Ingredient	43125924		1	
OMOP100906	BERBERIS AQUIFOLIUM	Ingredient	OMOP432885	Berberis aquifolium for homeopathic preparations	Ingredient	43125946		1	
OMOP101854	CACTUS GRANDIFLORUS	Ingredient	OMOP432893	Cactus Grandiflorus for homeopathic preparations	Ingredient	43125954		1	
OMOP106561	ERIGERON CANADENSIS L.	Ingredient	OMOP432908	Erigeron Canadensis for homeopathic preparations	Ingredient	43125967		1	
OMOP102426	CELERY	Ingredient	OMOP432921	Apium graveolens for homeopathic preparations	Ingredient	43125979		1	
OMOP106491	EPOXY RESIN	Ingredient	OMOP432926	Epoxy resin	Ingredient	43125984		1	
OMOP99602	ASPARAGUS OFFICINALIS	Ingredient	OMOP432940	Asparagus officinalis for homeopathic preparations	Ingredient	43125996		1	
OMOP99582	ASCLEPIAS VINCETOXICUM, FOLIA	Ingredient	OMOP432946	Asclepias Vincetoxicum for homeopathic preparations	Ingredient	43126002		1	
OMOP99581	ASCLEPIAS VINCETOXICUM	Ingredient	OMOP432946	Asclepias Vincetoxicum for homeopathic preparations	Ingredient	43126002		1	
OMOP101769	BUXUS SEMPERVIRENS	Ingredient	OMOP432955	Buxus sempervirens for homeopathic preparations	Ingredient	43126010		1	
OMOP97293	ABIES NIGRA	Ingredient	OMOP432959	Abies Nigra for homeopathic preparations	Ingredient	43126014		1	
OMOP106557	ERICA	Ingredient	OMOP432979	Erica cinerea extract	Ingredient	43126032		1	
OMOP103537	COCCULUS INDICUS	Ingredient	OMOP432995	Cocculus Indicus for homeopathic preparations	Ingredient	43126046		1	
OMOP98564	AMPELOPSIS QUINQUEFOLIA	Ingredient	OMOP433009	Ampelopsis Quinquefolia for homeopathic preparations	Ingredient	43126059		1	
OMOP99557	ARUM TRIPHYLLUM	Ingredient	OMOP433013	Arum Triphyllum for homeopathic preparations	Ingredient	43126063		1	
OMOP98690	ANGUSTURA VERA	Ingredient	OMOP433019	Angustura Vera for homeopathic preparations	Ingredient	43126068		1	
OMOP105559	DOLICHOS PRURIENS	Ingredient	OMOP433032	Dolichos Pruriens for homeopathic preparations	Ingredient	43126080		1	
OMOP102206	CARBOSYLANE	Brand Name	OMOP436947	CARBOSYLANE	Brand Name	43126795		1	
OMOP97906	AERIUS	Brand Name	OMOP437897	AERIUS	Brand Name	43127046		1	
OMOP98444	ALVOGYL	Brand Name	OMOP434277	ALVOGYL	Brand Name	43127344		1	
OMOP98618	ANANDRON	Brand Name	OMOP439755	ANANDRON	Brand Name	43127493		1	
OMOP99485	ART	Brand Name	OMOP438188	ART	Brand Name	43127606		1	
OMOP99521	ARTISIAL	Brand Name	OMOP439154	ARTISIAL	Brand Name	43127612		1	
OMOP99583	ASCOFER	Brand Name	OMOP433626	ASCOFER	Brand Name	43127616		1	
OMOP111265	KIDROLASE	Brand Name	OMOP437902	KIDROLASE	Brand Name	43127757		1	
OMOP111323	KINOX	Brand Name	OMOP438749	KINOX	Brand Name	43127758		1	
OMOP111238	KETODERM	Brand Name	OMOP436960	KETODERM	Brand Name	43127729		1	
OMOP111577	LACRYVISC	Brand Name	OMOP437046	LACRYVISC	Brand Name	43128008		1	
OMOP105949	DUKORAL	Brand Name	OMOP438644	DUKORAL	Brand Name	43128254		1	
OMOP105986	DURAPHAT	Brand Name	OMOP435564	DURAPHAT	Brand Name	43128263		1	
OMOP125584	TRINIPATCH	Brand Name	OMOP438481	TRINIPATCH	Brand Name	43128555		1	
OMOP125525	TRIATEC	Brand Name	OMOP439664	TRIATEC	Brand Name	43128514		1	
OMOP118096	PIPORTIL L4	Brand Name	OMOP435827	PIPORTIL L	Brand Name	43128786		1	
OMOP111917	LETROZOLE SUN	Brand Name	OMOP433741	LETROZOLE SUN	Brand Name	43128644		1	
OMOP106414	ENTONOX	Brand Name	OMOP434628	ENTONOX	Brand Name	43128877		1	
OMOP125630	TROMBOVAR	Brand Name	OMOP435905	TROMBOVAR	Brand Name	43128794		1	
OMOP118163	PLEGISOL	Brand Name	OMOP438768	PLEGISOL	Brand Name	43129036		1	
OMOP108157	Fingolimod Hydrochloride	Ingredient	1012892	fingolimod	Ingredient	40226579		1	
OMOP111347	KLEBSIELLA PNEUMONIAE	Ingredient	1311061	Klebsiella pneumoniae	Ingredient	42899432		1	
OMOP111567	LACHESIS	Ingredient	1310458	LACHESIS MUTA VENOM	Ingredient	42899437		1	
OMOP112365	LOVAGE	Ingredient	1310097	LOVAGE OIL	Ingredient	42899445		1	
OMOP118066	PIMPINELLA SAXIFRAGA	Ingredient	1310033	Pimpinella saxifraga root extract	Ingredient	42899894		1	
