CONCEPT_CODE_1	CONCEPT_NAME_1	CONCEPT_CODE_2	CONCEPT_NAME_2	CONCEPT_ID_2	PRECEDENCE_2	CONVERSION_FACTOR_2	CONCEPT_CLASS_ID_1
%	%	%	percent	8554	1	1	Unit
ACT	ACT			45744809	1	1	Unit
B	B	[U]	unit	8510	1	1000000000	Unit
C	C	[hp_C]	homeopathic potency of centesimal series	9324	1	1	Unit
CCID50	CCID50	[PFU]	plaque forming unit	9379	1	0.7	Unit
CELL	CELL	{cells}	cells	45744812	1	1	Unit
CFU	CFU	[CFU]	colony forming unit	9278	1	1	Unit
CH	CH	[hp_C]	homeopathic potency of centesimal series	9324	1	1	Unit
CMK	CMK	[hp_C]	homeopathic potency of centesimal series	9324	1	1000000	Unit
D	D	[hp_X]	homeopathic potency of decimal series	9325	1	1	Unit
DH	DH	[hp_X]	homeopathic potency of decimal series	9325	1	1	Unit
FFU	FFU	[FFU]	focus forming unit	9302	1	1	Unit
G	G	mg	milligram	8576	1	1000	Unit
GAL	GAL	mL	milliliter	8587	1	3790	Unit
GALU	GALU	[U]	unit	8510	1	1	Unit
HOUR	HOUR	h	hour	8505	1	1	Unit
IU	IU	[U]	unit	8510	1	1	Unit
K	K	[U]	unit	8510	1	1000	Unit
Kg	Kg	mg	milligram	8576	1	1000000	Unit
KIU	KIU	[iU]	unit	8510	1	1000	Unit
L	L	mL	milliliter	8587	1	1000	Unit
LF	LF	{LFU}	limit of flocculation unit	45744814	1	1	Unit
M	M	[U]	unit	8510	1	1000000	Unit
MCG	MCG	mg	milligram	8576	1	0.001	Unit
MCL	MCL	mL	milliliter	8587	1	0.001	Unit
MCMOL	MCMOL	mmol	millimole	9573	1	0.001	Unit
MEQ	MEQ	10*-3.eq	milliequivalent	9551	1	1	Unit
mEq	mEq	10*-3.eq	milliequivalent	9551	1	1	Unit
MG	MG	mg	milligram	8576	1	1	Unit
MIU	MIU	[iU]	unit	8510	1	1000000	Unit
ML	ML	mL	milliliter	8587	1	1	Unit
MMOL	MMOL	mmol	millimole	9573	1	1	Unit
MU	MU	[U]	unit	8510	1	1000000	Unit
PFU	PFU	[PFU]	plaque forming unit	9379	1	1	Unit
SQ CM	SQ CM	cm2	square centimeter	9483	1	1	Unit
U	U	[U]	unit	8510	1	1	Unit
UNIT	UNIT	[U]	unit	8510	1	1	Unit
UNITS	UNITS	[U]	unit	8510	1	1	Unit
X	X	[hp_X]	homeopathic potency of decimal series	9325	1	1	Unit
XMK	XMK	[hp_C]	homeopathic potency of centesimal series	9324	1	10000	Unit
TUB	TUB	[U]	unit	8510	1	1000	Unit
