CONCEPT_NAME	CONCEPT_ID	RCONCEPT_NAME
ABBOTT	43132754	ABBOTT PRODUCTS
ACTELION PTY LTD	43132447	ACTELION REGISTRATION
ALLERGAN	21020558	Allergan Ltd
AMGEN	21019901	Amgen Ltd
ASPEN PHARMA PL	21020708	Aspen Pharma Trading Ltd
ASTELLAS PHARMA AU	43132652	ASTELLAS PHARMA
AUROBINDO PHARMA	21019592	Aurobindo Pharma Ltd
BAUSCH & LOMB	21019189	Bausch & Lomb UK Ltd
BAXTER HEALTHCARE	21020721	Baxter Healthcare Ltd
BGP PRODUCTS	21019309	G.F. Products
BGP PRODUCTS	21019333	BGP Products Ltd
BOEHRINGER INGELHM	21019140	Boehringer Ingelheim Self-Medication Division
BOEHRINGER INGELHM	21020335	Boehringer Ingelheim Ltd
BRISTOLMYER/SQUIBB	21020637	Bristol-Myers Squibb Pharmaceuticals Ltd
BRISTOLMYER/SQUIBB	43132608	BRISTOL MYERS SQUIBB
CELGENE PTY LTD	21020308	Celgene Ltd
COLGATE	21020462	Colgate Oral Pharmaceuticals
CONVATEC	21020023	ConvaTec Ltd
EISAI AUST P/L	21019382	Eisai Ltd
EMERGE HEALTH	21020437	Espere Healthcare Ltd
FERRING	21019554	Ferring Pharmaceuticals Ltd
FRESENIUS-KABI	21020720	Fresenius Kabi Ltd
GALDERMA	43132840	GALDERMA INTERNATIONAL
GENERIC	43132581	GENERICS
GENZYME CORP	21019471	Genzyme Therapeutics Ltd
GRUNENTHAL AUST	21019519	Grunenthal Ltd
GenERIC	21019581	Genesis Medical Ltd
GenERIC	21019596	General Dietary Ltd
GenERIC	21020318	D P Generics
GenERIC	21020344	Genesis Pharmaceuticals Ltd
GenERIC	43132581	GENERICS
GenERIC	43132698	GENEVRIER
Generic	21019581	Genesis Medical Ltd
Generic	21019596	General Dietary Ltd
Generic	21020318	D P Generics
Generic	21020344	Genesis Pharmaceuticals Ltd
Generic	43132581	GENERICS
Generic	43132698	GENEVRIER
HEALTH WORLD	21019377	Health World Ltd
INDIVIOR	21019763	Indivior UK Ltd
IPSEN PTY LTD	21020175	Ipsen Ltd
IPSEN PTY LTD	43132496	IPSEN PHARMA
JOHNSON & JOHNSON	21020231	Johnson & Johnson Ltd
JOHNSON & JOHNSON	21020360	Johnson+Johnson MSD Consumer Pharmaceuticals
LUNDBECK AUSTRALIA	21020267	Lundbeck Ltd
MAYNE PHARMA	21020621	Mayne Pharma Plc 1
MERCK SERONO AUST	21020108	Merck Serono Ltd
NORGINE	43132384	NORGINE PHARMA
NOVARTIS	43132796	NOVARTIS PHARMA
NOVO-NORDISK	43132858	NOVO NORDISK
NUTRICIA	21019423	Nutricia Ltd
OCTAPHARMA AUST	21019435	Octapharma Ltd
OCTAPHARMA AUST	43132357	GOAPHARMA
OCTAPHARMA AUST	43132600	OCTAPHARMA (SUEDE)
OCTAPHARMA AUST	43132829	OCTAPHARMA FRANCE
OCTAPHARMA AUST	43132849	CAGPHARMA
OMEGA PHARMA	21019433	Omega Pharma Ltd
ORION	43132802	ORION CORPORATION
PHARMACARE	21019545	Pharmacare Products
SANOFI-AVENTIS	43132814	SANOFI-AVENTIS GROUPE
SIGMA	21020368	Sigma Pharmaceuticals Plc
SMITH NEPHEW	21019659	Smith & Nephew Healthcare Ltd
VALEANT	21020718	Valeant Pharmaceuticals Ltd
