concept_code_1,concept_code_2,vocabulary_id_1,vocabulary_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
"2050776","OMOP557729","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"2043201","378990","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"20579","38400","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"OMOP580687","OMOP5128763","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"2042989","OMOP5119744","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"2044312","1658102","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2050561","1356580","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"607754","6851","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"OMOP577469","OMOP540516","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"606530","183379","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2040849","1000026","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"10671","26744","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"4618","211365","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"OMOP579793","1251493","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"21545","331105","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"15051","1423702","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"603849","19831","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"23903","1658062","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"OMOP578883","OMOP531208","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"OMOP576532","368560","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2045073","OMOP544170","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"596758","265323","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2040430","977437","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"607394","6902","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"27614","6574","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2044572","OMOP326034","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"6291","OMOP4974870","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"2050003","OMOP539424","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"2043537","OMOP991248","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"603492","1310510","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"15320","6205","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"21484","OMOP345273","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"25450","OMOP3049112","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"23837","OMOP5132620","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"2048769","OMOP2806073","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"OMOP582099","206605","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2043835","3966","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2039844","1652641","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"605194","135775","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2044250","1873470","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"OMOP579752","1946395","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"17087","236809","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2040904","373259","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2042437","375357","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"14859","723","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"4040","152625","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"11514","8896","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"4620","6227","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"OMOP578661","OMOP531143","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"603218","135447","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"607277","8703","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"OMOP581893","OMOP531149","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"2047545","OMOP532838","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"33439","OMOP994671","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"603179","183379","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2049403","316404","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"607397","6902","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"10059","313518","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2040962","1547974","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2048811","728225","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2046106","6582","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"OMOP576745","OMOP5148635","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"33603","OMOP1102254","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"606423","1357536","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"18787","2108226","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"OMOP579752","42769","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"18522","349491","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"11584","OMOP558358","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"11788","OMOP561522","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"4931","1736778","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2050607","OMOP573929","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"5820","203970","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"606985","OMOP545224","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"2040275","75917","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"13644","OMOP4828326","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"13154","17609","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"12687","OMOP5051440","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"15320","OMOP5051440","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"2050674","999991","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"OMOP581472","OMOP543478","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"24085","319864","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2040810","250804","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2047677","378762","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"21545","332374","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2040141","OMOP4708655","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"21544","332374","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"20473","198250","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"8425","105695","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"3368","OMOP1120054","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
"2040255","1010600","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"14380","1809031","LPD_Australia","RxNorm","Maps to","2022-05-27","2099-12-31",
"2049647","OMOP2125190","LPD_Australia","RxNorm Extension","Maps to","2022-05-27","2099-12-31",
