FO_PRD_ID	PRD_NAME	MOL_NAME	INGREDIENT_CONCEPT_CODE	CONCEPT_NAME	BOX_SIZE	AMOUNT_VALUE	AMOUNT_UNIT	NUMERATOR_VALUE	NUMERATOR_UNIT	DENOMINATOR_VALUE	DENOMINATOR_UNIT	VALID_DS
597358	SENEGA AND AMMONIA MIXTURE 25MG-0.3MG-2.5MG-25MG-8.2MG/ML	AMMONIUM BICARBONATE/CAMPHOR/LICORICE/SENEGA	OMOP2849222	AMMONIUM BICARBONATE								1
597358	SENEGA AND AMMONIA MIXTURE 25MG-0.3MG-2.5MG-25MG-8.2MG/ML	AMMONIUM BICARBONATE/CAMPHOR/LICORICE/SENEGA	OMOP2850139	CAMPHOR								1
597358	SENEGA AND AMMONIA MIXTURE 25MG-0.3MG-2.5MG-25MG-8.2MG/ML	AMMONIUM BICARBONATE/CAMPHOR/LICORICE/SENEGA	OMOP2853059	LICORICE								1
597444	ULTRA POTENT-C SOFTGEL SOFTGELCAP 450MG/182.8MG (= 162.5MG ASCORBIC ACID)/19.5MG/13MG (19.3 UNITS)/1.25MG/375MCG	ASCORBATE/BETACAROTENE/RUTIN/TOCOPHEROL/ZINC	OMOP2856858	ZINC								1
597444	ULTRA POTENT-C SOFTGEL SOFTGELCAP 450MG/182.8MG (= 162.5MG ASCORBIC ACID)/19.5MG/13MG (19.3 UNITS)/1.25MG/375MCG	ASCORBATE/BETACAROTENE/RUTIN/TOCOPHEROL/ZINC	OMOP2856283	TOCOPHEROL								1
597444	ULTRA POTENT-C SOFTGEL SOFTGELCAP 450MG/182.8MG (= 162.5MG ASCORBIC ACID)/19.5MG/13MG (19.3 UNITS)/1.25MG/375MCG	ASCORBATE/BETACAROTENE/RUTIN/TOCOPHEROL/ZINC	OMOP2849540	ASCORBATE								1
597444	ULTRA POTENT-C SOFTGEL SOFTGELCAP 450MG/182.8MG (= 162.5MG ASCORBIC ACID)/19.5MG/13MG (19.3 UNITS)/1.25MG/375MCG	ASCORBATE/BETACAROTENE/RUTIN/TOCOPHEROL/ZINC	OMOP2849809	BETACAROTENE								1
597444	ULTRA POTENT-C SOFTGEL SOFTGELCAP 450MG/182.8MG (= 162.5MG ASCORBIC ACID)/19.5MG/13MG (19.3 UNITS)/1.25MG/375MCG	ASCORBATE/BETACAROTENE/RUTIN/TOCOPHEROL/ZINC	OMOP2855490	RUTIN								1
597447	ULTRABIOTIC IBS CAPSULE 30 BILLION CFU/750 MILLION CFU/14.25 BILLION CFU	BIFIDOBACTERIUM/LACTOBACILLUS SPP	OMOP2849859	BIFIDOBACTERIUM								1
597447	ULTRABIOTIC IBS CAPSULE 30 BILLION CFU/750 MILLION CFU/14.25 BILLION CFU	BIFIDOBACTERIUM/LACTOBACILLUS SPP	OMOP2852915	LACTOBACILLUS SPP								1
597808	SENEGA/AMMONIA MIXTURE 25MG-0.3MG-2.5MG-25MG-8.2MG/ML	AMMONIUM BICARBONATE/CAMPHOR/LICORICE/SENEGA	OMOP2855597	SENEGA								1
597808	SENEGA/AMMONIA MIXTURE 25MG-0.3MG-2.5MG-25MG-8.2MG/ML	AMMONIUM BICARBONATE/CAMPHOR/LICORICE/SENEGA	OMOP2849222	AMMONIUM BICARBONATE								1
597808	SENEGA/AMMONIA MIXTURE 25MG-0.3MG-2.5MG-25MG-8.2MG/ML	AMMONIUM BICARBONATE/CAMPHOR/LICORICE/SENEGA	OMOP2850139	CAMPHOR								1
597808	SENEGA/AMMONIA MIXTURE 25MG-0.3MG-2.5MG-25MG-8.2MG/ML	AMMONIUM BICARBONATE/CAMPHOR/LICORICE/SENEGA	OMOP2853059	LICORICE								1
597827	ALUMINIUM HYDROXIDE/MAGNESIUM HYDR 400MG/400MG/	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE	OMOP2849174	ALUMINIUM HYDROXIDE		400	MG					1
597827	ALUMINIUM HYDROXIDE/MAGNESIUM HYDR 400MG/400MG/	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE	OMOP2855708	SIMETHICONE								1
597827	ALUMINIUM HYDROXIDE/MAGNESIUM HYDR 400MG/400MG/	ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE	OMOP2853253	MAGNESIUM HYDROXIDE		400	MG					1
598392	MOVICOL CHOCOLATE SACHET 13.125G/350.7MG/31.7MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
598393	MOVICOL CHOCOLATE SACHET 13.125G/350.7MG/31.7MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
598394	MOVICOL CHOCOLATE SACHET 13.125G/350.7MG/31.7MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
598395	MOVICOL CHOCOLATE SACHET 13.125G/350.7MG/31.7MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
598396	MOVICOL CHOCOLATE SACHET 13.125G/350.7MG/31.7MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
598397	MOVICOL FLAVOUR FREE SACHET 13.125G/350.8MG/50.2MG/178.6MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.8	MG	1
598398	MOVICOL FLAVOUR FREE SACHET 13.125G/350.8MG/50.2MG/178.6MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.8	MG	1
598399	MOVICOL FLAVOUR FREE SACHET 13.125G/350.8MG/50.2MG/178.6MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.8	MG	1
598400	MOVICOL FLAVOUR FREE SACHET 13.125G/350.8MG/50.2MG/178.6MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.8	MG	1
598401	MOVICOL FLAVOUR FREE SACHET 13.125G/350.8MG/50.2MG/178.6MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.8	MG	1
598539	BETADINE COLD SORE PAINT PAIN RELIEF FORMULA 10%/30%/1% (100MG-0.3ML-10MG/ML)	ETHANOL/LAURETH-9/POVIDONE-IODINE	OMOP2852972	LAURETH-9				0.3	ML	1	ML	1
599437	LACTOFERRIN PLUS SB WITH VITAMIN A CAPSULE 150MG/150MG/517.5MCG	RETINOL/YEAST	OMOP2856812	YEAST								1
599437	LACTOFERRIN PLUS SB WITH VITAMIN A CAPSULE 150MG/150MG/517.5MCG	RETINOL/YEAST	OMOP2855336	RETINOL								1
599438	LACTOFERRIN PLUS SB WITH VITAMIN A CAPSULE 150MG/150MG/517.5MCG	RETINOL/YEAST	OMOP2856812	YEAST								1
599438	LACTOFERRIN PLUS SB WITH VITAMIN A CAPSULE 150MG/150MG/517.5MCG	RETINOL/YEAST	OMOP2855336	RETINOL								1
599451	ARTHRO AID PAINEASE PAIN RELIEF CREAM 52MG-120MG-20MG-7MG/G	ARNICA MONTANA/EMU/ROSEMARY	OMOP2851488	EMU								1
599451	ARTHRO AID PAINEASE PAIN RELIEF CREAM 52MG-120MG-20MG-7MG/G	ARNICA MONTANA/EMU/ROSEMARY	OMOP2849511	ARNICA MONTANA								1
599451	ARTHRO AID PAINEASE PAIN RELIEF CREAM 52MG-120MG-20MG-7MG/G	ARNICA MONTANA/EMU/ROSEMARY	OMOP2855447	ROSEMARY								1
602285	MICOLETTE MICROENEMA 3.125G-450MG-45MG/5ML	SODIUM CITRATE/SORBITOL	OMOP2855786	SODIUM CITRATE								1
602285	MICOLETTE MICROENEMA 3.125G-450MG-45MG/5ML	SODIUM CITRATE/SORBITOL	OMOP2855837	SORBITOL								1
603563	LAXACON SACHET 13.125G/350.7MG/46.6MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
603565	LAXACON SACHET 13.125G/350.7MG/46.6MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
603566	LAXACON SACHET 13.125G/350.7MG/46.6MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
603944	LAX-SACHETS SACHET 13.125G/350.7MG/46.6MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
603945	LAX-SACHETS SACHET 13.125G/350.7MG/46.6MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
604007	APO-MACROGOL PLUS ELECTROLYTES SACHET 13.125G/350.7MG/46.6MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
604008	APO-MACROGOL PLUS ELECTROLYTES SACHET 13.125G/350.7MG/46.6MG/178.5MG	MACROGOL, COMBINATIONS	OMOP2853227	"MACROGOL, COMBINATIONS"					MG	350.7	MG	1
