concept_name	concept_class_id	concept_id	precedence	conversion_factor
"1 Alpha Leo"	"Brand Name"	"40813393"	"1"	
"A.Vogel ArnicaforceMed"	"Brand Name"	"36777192"	"1"	
"A.Vogel AtrosanMed"	"Brand Name"	"36256877"	"1"	
"A.Vogel Prostaforce"	"Brand Name"	"36256865"	"1"	
"Aacidexam"	"Brand Name"	"36256214"	"1"	
"Aacifemine"	"Brand Name"	"36256539"	"1"	
"Abacavir / Lamivudin Sandoz"	"Brand Name"	"36777161"	"1"	
"Abacavir / Lamivudine Mylan"	"Brand Name"	"44017657"	"1"	
"Abasaglar"	"Brand Name"	"21018121"	"1"	
"Abelcet"	"Brand Name"	"19035347"	"1"	
"Abilify"	"Brand Name"	"19031636"	"1"	
"Abilify"	"Brand Name"	"19031636"	"1"	
"Abilify"	"Brand Name"	"19031636"	"1"	
"Abraxane"	"Brand Name"	"19080348"	"1"	
"Acatar"	"Brand Name"	"36256258"	"1"	
"Accofil"	"Brand Name"	"21018532"	"1"	
"Accupril"	"Brand Name"	"19013171"	"1"	
"Accuretic"	"Brand Name"	"19020260"	"1"	
"Aceclofenac EG"	"Brand Name"	"43126830"	"1"	
"Aceclofenac Sintesa"	"Brand Name"	"36256399"	"1"	
"Aceclofenac Teva"	"Brand Name"	"36256259"	"1"	
"Acetylcystein Sandoz"	"Brand Name"	"43563579"	"1"	
"Acetylcysteine Apotex"	"Brand Name"	"36256236"	"1"	
"Acetylcysteine EG"	"Brand Name"	"43126840"	"1"	
"Acetylsalicylic Acid Krka"	"Brand Name"	"36256255"	"1"	
"Aciclovir Apotex"	"Brand Name"	"36256153"	"1"	
"Aciclovir EG"	"Brand Name"	"43126860"	"1"	
"Aciclovir Hospira"	"Brand Name"	"43563616"	"1"	
"Aciclovir Mylan"	"Brand Name"	"43126862"	"1"	
"Aciclovir Sandoz"	"Brand Name"	"43126869"	"1"	
"Aciclovir Teva"	"Brand Name"	"43126871"	"1"	
"Acidcare"	"Brand Name"	"36256558"	"1"	
"Acidine"	"Brand Name"	"36256538"	"1"	
"Acidozol"	"Brand Name"	"36256511"	"1"	
"Aclasta"	"Brand Name"	"21014852"	"1"	
"Acneplus"	"Brand Name"	"36256545"	"1"	
"Act-Hib"	"Brand Name"	"40799467"	"1"	
"Actifed New"	"Brand Name"	"19029676"	"1"	
"Actilyse"	"Brand Name"	"40756304"	"1"	
"Activelle"	"Brand Name"	"44013088"	"1"	
"Activelle"	"Brand Name"	"44013088"	"1"	
"Actonel"	"Brand Name"	"19021836"	"1"	
"Actonel Combi D"	"Brand Name"	"19021836"	"1"	
"Actos"	"Brand Name"	"19099206"	"1"	
"Actosolv"	"Brand Name"	"43127025"	"1"	
"Actrapid"	"Brand Name"	"21016315"	"1"	
"Aculare"	"Brand Name"	"19023202"	"1"	
"Acupan"	"Brand Name"	"19018223"	"1"	
"Adalat"	"Brand Name"	"19020153"	"1"	
"Adcetris"	"Brand Name"	"40241613"	"1"	
"Adcirca"	"Brand Name"	"19048491"	"1"	
"Adempas"	"Brand Name"	"44506453"	"1"	
"Adenocor"	"Brand Name"	"21014315"	"1"	
"Adenuric"	"Brand Name"	"21017137"	"1"	
"Adoport"	"Brand Name"	"21018594"	"1"	
"Adrenaline (HCl) Sterop"	"Brand Name"	"36256215"	"1"	
"Adrenaline (Tartrate) Aguettant"	"Brand Name"	"43127035"	"1"	
"Adrenaline (Tartrate) Sterop"	"Brand Name"	"36256215"	"1"	
"Adriblastina"	"Brand Name"	"40799542"	"1"	
"Advagraf"	"Brand Name"	"21014378"	"1"	
"Advantan"	"Brand Name"	"21019017"	"1"	
"Advate"	"Brand Name"	"19000447"	"1"	
"Aerinaze"	"Brand Name"	"40799583"	"1"	
"Aerius"	"Brand Name"	"43127046"	"1"	
"Aerius"	"Brand Name"	"43127046"	"1"	
"Aethoxysklerol"	"Brand Name"	"21015275"	"1"	
"Afebryl"	"Brand Name"	"36256843"	"1"	
"Affusine"	"Brand Name"	"36256682"	"1"	
"Afinitor"	"Brand Name"	"19135079"	"1"	
"Afstyla"	"Brand Name"	"36249828"	"1"	
"Aggrastat"	"Brand Name"	"19034242"	"1"	
"Agiolax"	"Brand Name"	"40799607"	"1"	
"Agyrax"	"Brand Name"	"43127053"	"1"	
"Air-Tal"	"Brand Name"	"36256154"	"1"	
"Airflusal"	"Brand Name"	"40799651"	"1"	
"Airomir"	"Brand Name"	"19013495"	"1"	
"Akineton"	"Brand Name"	"19020262"	"1"	
"Akton"	"Brand Name"	"36256550"	"1"	
"Akynzeo"	"Brand Name"	"45774970"	"1"	
"Albicort"	"Brand Name"	"36256135"	"1"	
"Alcaine"	"Brand Name"	"19047959"	"1"	
"Aldactazine"	"Brand Name"	"36256753"	"1"	
"Aldactone"	"Brand Name"	"19020268"	"1"	
"Aldactone"	"Brand Name"	"19020268"	"1"	
"Aldara"	"Brand Name"	"19053103"	"1"	
"Aldomet"	"Brand Name"	"19020292"	"1"	
"Aldurazyme"	"Brand Name"	"19045742"	"1"	
"Alecensa"	"Brand Name"	"35604661"	"1"	
"Alendronaat + Calcium/Vitamine D Combi Sandoz"	"Brand Name"	"36256559"	"1"	
"Alendronaat + Vitamine D Sandoz"	"Brand Name"	"36256155"	"1"	
"Alendronate EG"	"Brand Name"	"36256765"	"1"	
"Alendronate EG"	"Brand Name"	"36256765"	"1"	
"Alendronate Mylan"	"Brand Name"	"44017713"	"1"	
"Alendronate Mylan"	"Brand Name"	"44017713"	"1"	
"Alendronate Sandoz"	"Brand Name"	"40799714"	"1"	
"Alendronate Teva"	"Brand Name"	"43127156"	"1"	
"AlenSteo"	"Brand Name"	"36256561"	"1"	
"Aleve"	"Brand Name"	"19053148"	"1"	
"Alfuzosine Sandoz"	"Brand Name"	"40800425"	"1"	
"Algipan"	"Brand Name"	"36256621"	"1"	
"Algis-Spray"	"Brand Name"	"36256188"	"1"	
"Algocod"	"Brand Name"	"36256356"	"1"	
"Algostase"	"Brand Name"	"36256568"	"1"	
"Algostase Mono"	"Brand Name"	"36256569"	"1"	
"Algotra"	"Brand Name"	"36256560"	"1"	
"Alimta"	"Brand Name"	"19016297"	"1"	
"Alka Seltzer"	"Brand Name"	"44013134"	"1"	
"Alkeran"	"Brand Name"	"19020297"	"1"	
"Allegra Nasal"	"Brand Name"	"19016452"	"1"	
"Allegratab"	"Brand Name"	"36256237"	"1"	
"Alleophta"	"Brand Name"	"36256206"	"1"	
"Allergo-COMOD"	"Brand Name"	"43564013"	"1"	
"Allergodil"	"Brand Name"	"43127197"	"1"	
"Allopurinol EG"	"Brand Name"	"43127202"	"1"	
"Allopurinol Sandoz"	"Brand Name"	"43127208"	"1"	
"Allopurinol Teva"	"Brand Name"	"43127210"	"1"	
"Allopurinol-Ratiopharm"	"Brand Name"	"43127207"	"1"	
"Almogran"	"Brand Name"	"21015266"	"1"	
"Almotriptan Sandoz"	"Brand Name"	"43127219"	"1"	
"Alomide"	"Brand Name"	"19012891"	"1"	
"Alopate"	"Brand Name"	"36256410"	"1"	
"Alopexy"	"Brand Name"	"43127223"	"1"	
"Aloxi"	"Brand Name"	"19043676"	"1"	
"Alphagan"	"Brand Name"	"19023499"	"1"	
"Alpraz"	"Brand Name"	"36256196"	"1"	
"Alprazolam EG"	"Brand Name"	"43127233"	"1"	
"Alprazolam Sandoz"	"Brand Name"	"43127238"	"1"	
"Alprazolam Teva"	"Brand Name"	"43127239"	"1"	
"Alprolix"	"Brand Name"	"44817871"	"1"	
"Altriabak"	"Brand Name"	"36256161"	"1"	
"Amarylle"	"Brand Name"	"19023584"	"1"	
"Ambisome"	"Brand Name"	"19020329"	"1"	
