COUNT	PRD_ID	PRD_NAME	CONCEPT_ID	CONCEPT_NAME	amount_value	amount_unit	denominator_value	denominator_unit	box_size		
28998	72165	ACATAR C 1 SIROP	1119510	Dextromethorphan	3	mg					
28998	72165	ACATAR C 1 SIROP	1163944	Guaifenesin	10	mg					
13599	43553	ACTIFED C 1 SIROP	1105889	Triprolidine	30	mg	5	ml			
13599	43553	ACTIFED C 1 SIROP	1154332	Pseudoephedrine	1.25	mg	5	ml			
10776	4789	ACTIFED C 30 COMPRIMES	1105889	Triprolidine	1.25	mg	5	ml			
10776	4789	ACTIFED C 30 COMPRIMES	1154332	Pseudoephedrine	30	mg	5	ml			
11695	53736	ACTRAPID PENFILL C 100UI ML 5 CARTOUCHES	46221581	insulin, isophane	300	IU	3	ml			
39085	187277	AERINAZE C 2 5MG 120MG 14 COMPRIMES LIBERATION MODIFIEE	1103006	desloratadine	2.5	mg			14		
39085	187277	AERINAZE C 2 5MG 120MG 14 COMPRIMES LIBERATION MODIFIEE	1154332	Pseudoephedrine	120	mg			14		
5980	115949	AERIUS C 0 5MG ML 1 SIROP	1103006	desloratadine	2.5	mg	5	ml			
15615	187750	AERIUS C 0 5MG ML 1 SOLUTION A AVALER	1103006	desloratadine	0.5	mg	1	ml			
19992	8099980	AERIUS C 5MG 100 COMPRIMES PELLICULES	1103006	desloratadine	5	mg			100		
38737	106906	AERIUS C 5MG 30 COMPRIMES PELLICULES	1103006	desloratadine	5	mg			30		
24901	187008	AERIUS C 5MG 50 COMPRIMES PELLICULES	1103006	desloratadine	5	mg			50		
6052	3710	AFEBRYL C 16 COMPRIMES EFFERVESCENTS	1112807	Aspirin							
6052	3710	AFEBRYL C 16 COMPRIMES EFFERVESCENTS	1125315	Acetaminophen							
6052	3710	AFEBRYL C 16 COMPRIMES EFFERVESCENTS	19011773	Ascorbic Acid							
90106	406	ALDACTAZINE C 25MG 15MG 98 COMPRIMES	970250	Spironolactone	25	mg			98		
90106	406	ALDACTAZINE C 25MG 15MG 98 COMPRIMES	36256121	altizide	15	mg			98		
10486	187181	ALGOCOD C 500 MG 30 MG 32 COMPRIMES EFFERVESCENTS	1125315	Acetaminophen	500	mg			32		
10486	187181	ALGOCOD C 500 MG 30 MG 32 COMPRIMES EFFERVESCENTS	1201620	Codeine	30	mg			32		
10304	83297	ALGOPHENE SMB C 30 GELULES	1125315	Acetaminophen	400	mg			30		
10304	83297	ALGOPHENE SMB C 30 GELULES	1153664	Propoxyphene	30	mg			30		
13781	51878	ALGOSTASE C 500 MG 50 MG 32 COMPRIMES EFFERVESCENTS	1125315	Acetaminophen	500	mg			32		
13781	51878	ALGOSTASE C 500 MG 50 MG 32 COMPRIMES EFFERVESCENTS	1134439	Caffeine	50	mg			32		
4959	97215	ALLOPURINOL RATIOPHARM C 100MG 100 COMPRIMES	1167322	Allopurinol	100	mg			100		
4578	177917	ALPHA RIX 2007 2008 C 1 SERINGUE PRETE A L EMPLOI	46275999	influenza B virus antigen							
5176	187808	ALPHA RIX 2008 2009 C 1 SERINGUE PRETE A L EMPLOI	46275999	influenza B virus antigen							
4854	188133	ALPHA RIX 2009 2010 C 1 SERINGUE PRETE A L EMPLOI	46275999	influenza B virus antigen							
4673	8278470	ALPHA RIX 2012 2013 C 1 SERINGUE PRETE A L EMPLOI	46275999	influenza B virus antigen							
5134	27072117	ALPHA RIX TETRA 2017 2018 C 1 SERINGUE PRETE A L EMPLOI	42903441	Influenza A virus							
13008	154293	AMOCLANE C 875 125MG 20 COMPRIMES	1713332	Amoxicillin	875	mg			20		
13008	154293	AMOCLANE C 875 125MG 20 COMPRIMES	1759842	Clavulanate	125	mg			20		
29964	111087	AMOXICLAV MYLAN C 875MG 125MG 20 COMPRIMES PELLICULES	1713332	Amoxicillin	875	mg			20		
29964	111087	AMOXICLAV MYLAN C 875MG 125MG 20 COMPRIMES PELLICULES	1759842	Clavulanate	125	mg			20		
46216	114522	AMOXICLAV SANDOZ C 875MG 20 COMPRIMES PELLICULES	1713332	Amoxicillin	875	mg			20		
46216	114522	AMOXICLAV SANDOZ C 875MG 20 COMPRIMES PELLICULES	1759842	Clavulanate	125	mg			20		
34708	98030	ATROVENT C 0 25MG 2ML 20 AMPOULES POUR INHALATION	1112921	Ipratropium	0.25	mg	2	ml	20		
28922	110836	ATROVENT C 0 25MG 2ML 60 AMPOULES POUR INHALATION	1112921	Ipratropium	0.25	mg	2	ml			
10601	98031	ATROVENT C 0 5MG 2ML 20 AMPOULES POUR INHALATION	1112921	Ipratropium	0.5	mg	2	ml	20		
23702	1024	AUGMENTIN C 250MG 62 5MG 5ML 1 POUDRE POUR SUSPENSION ORALE	1713332	Amoxicillin	250	mg	5	ml			
23702	1024	AUGMENTIN C 250MG 62 5MG 5ML 1 POUDRE POUR SUSPENSION ORALE	1759842	Clavulanate	62.5	mg	5	ml			
19613	783	AUGMENTIN C 500MG 125MG 16 COMPRIMES PELLICULES	1713332	Amoxicillin	500	mg			16		
19613	783	AUGMENTIN C 500MG 125MG 16 COMPRIMES PELLICULES	1759842	Clavulanate	125	mg			16		
75877	113607	AUGMENTIN C 875MG 125MG 20 COMPRIMES PELLICULES	1713332	Amoxicillin	875	mg			20		
75877	113607	AUGMENTIN C 875MG 125MG 20 COMPRIMES PELLICULES	1759842	Clavulanate	125	mg			20		
5108	2022072	AUGMENTIN PI PHARMA C 875MG 125MG 20 COMPRIMES PELLICULES	1713332	Amoxicillin	875	mg			20		
5108	2022072	AUGMENTIN PI PHARMA C 875MG 125MG 20 COMPRIMES PELLICULES	1759842	Clavulanate	125	mg			20		
