concept_name	concept_class_id	concept_id	precedence	conversion_factor
"dos."	"Unit"	"45744809"	"1"	"1"
"cellen"	"Unit"	"45744812"	"1"	"1"
"IE"	"Unit"	"8510"	"1"	"1"
"l"	"Unit"	"8587"	"1"	"1000"
"mg"	"Unit"	"8576"	"1"	"1"
"E"	"Unit"	"8510"	"1"	"1"
"u"	"Unit"	"8505"	"1"	"1"
"TE"	"Unit"	"8510"	"1"	"1"
"µl"	"Unit"	"8587"	"1"	"0.001"
"MIE"	"Unit"	"8510"	"1"	"0.000001"
"HEP"	"Unit"	"45744810"	"1"	"1"
"Elisa E"	"Unit"	"8510"	"1"	"1"
"ml"	"Unit"	"8587"	"1"	"1"
"ME"	"Unit"	"8510"	"1"	"0.000001"
"E6 IE"	"Unit"	"8510"	"1"	"1000000"
"g"	"Unit"	"8576"	"1"	"1000"
"E6 CFU"	"Unit"	"45744815"	"1"	"1000000"
"µg"	"Unit"	"8576"	"1"	"0.001"
"SQ-T"	"Unit"	"8510"	"1"	"1"
"IE anti-Xa"	"Unit"	"8510"	"1"	"1"
"IR"	"Unit"	"8510"	"1"	"1"
"E6 bacillen"	"Unit"	"45744815"	"1"	"1000000"
"KIE"	"Unit"	"8510"	"1"	"1"
"cm²"	"Unit"	"9483"	"1"	"1"
"verband Sacral"	"Dose Form"	"19082228"	"2"	
"inj./instill. oploss. i.v./i.thec./i.arter./i.duct. [flac.]"	"Dose Form"	"46234469"	"2"	
"zachte caps. Fastcaps"	"Dose Form"	"19082077"	"3"	
"inj. oploss. s.c. Junior Kwikpen [voorgev. pen]"	"Dose Form"	"19082103"	"1"	
"cut. spray pdr."	"Dose Form"	"19095912"	"1"	
"inj. oploss. s.c. [patr.] voor Puregon Pen"	"Dose Form"	"46234469"	"2"	
"inf. oploss. (conc.) i.v. CytoVial [flac.]"	"Dose Form"	"19082103"	"1"	
"crème"	"Dose Form"	"19082169"	"2"	
"oploss. (pdr., zakjes) Sinaasappel"	"Dose Form"	"19095976"	"1"	
"inj./inf. oploss. i.v./epidur. [amp.]"	"Dose Form"	"46234469"	"2"	
"gastro-ent. gel"	"Dose Form"	"19095916"	"1"	
"kauw-/disp. tabl. Starter-Pack"	"Dose Form"	"19082076"	"1"	
"inj./inf. oploss. s.c. [flac.]"	"Dose Form"	"46234469"	"2"	
"inj. oploss. i.lymf. [amp.]"	"Dose Form"	"19082103"	"1"	
"verband Extra dun"	"Dose Form"	"19082228"	"2"	
"inj. oploss. i.m./i.v./endotrach./i.oss. [voorgev. spuit]"	"Dose Form"	"19126920"	"2"	
"subling. lyofilisaat"	"Dose Form"	"19082573"	"2"	
"inj. oploss. i.ocul. [flac.]"	"Dose Form"	"46234469"	"2"	
"filmomh. tabl."	"Dose Form"	"19082079"	"2"	
"lyofilisaat Zydis"	"Dose Form"	"19082573"	"1"	
"gingiv./oromuc. spray oploss. (alc.)"	"Dose Form"	"19095900"	"1"	
"susp. (pdr., zakjes)"	"Dose Form"	"19082191"	"2"	
"cut. oploss. (alc.) Hydroalcoholische"	"Dose Form"	"19082228"	"1"	
"tabl. (deelb.) A"	"Dose Form"	"19082079"	"2"	
"inj./inf. oploss. i.v. [flac.]"	"Dose Form"	"46234469"	"2"	
"nas. spray oploss. Sine Conservans Pediatrie"	"Dose Form"	"19011167"	"1"	
"tabl. verl. afgifte Once Daily"	"Dose Form"	"19082077"	"1"	
"omh. tabl."	"Dose Form"	"19082079"	"2"	
"inj. susp. verl. afgifte i.derm./i.artic. [flac.]"	"Dose Form"	"19082104"	"1"	
"filmomh. tabl. Junior"	"Dose Form"	"19082168"	"1"	
"inj. susp. verl. afgifte i.m./i.derm./i.artic./i.laes./i.burs./p.artic. Chronodose [flac.]"	"Dose Form"	"46234469"	"2"	
"i.uter. systeem"	"Dose Form"	"1718367"	"1"	
"siroop oploss."	"Dose Form"	"19082223"	"2"	
