CONCEPT_NAME	CONCEPT_ID	CONCEPT_NAME_2	PRECEDENCE
Tianeptine	19041910	tianeptine	1
Tianeurax	43576945	Tianeurax	1
Tiaprid 1a Pharma	43576947	Tiaprid 1a Pharma	1
Tiaprid Abz	43576948	Tiaprid Abz	1
Tiaprid Al	43576949	Tiaprid Al	1
Tiaprid Hexal	43576950	Tiaprid Hexal	1
Tiaprid Sandoz	43576951	Tiaprid Sandoz	1
Tiaprid Stada	43576952	Tiaprid Stada	1
Tiaprid Winthrop	43576953	Tiaprid Winthrop	1
Tiapridal	43127892	TIAPRIDAL	1
Tiapride	19008012	Tiapride	1
Tiapridex	43576957	Tiapridex	1
Tiaprofenic Acid	19086910	Tiaprofenate	1
Tibolon Aristo	43576959	Tibolon Aristo	1
Tibolone	19041933	tibolone	1
Ticagrelor	40241186	Ticagrelor	1
Ticarcillin	1702364	Ticarcillin	1
Ticlopidin Hexal	43576962	Ticlopidin Hexal	1
Ticlopidin Sandoz	43576963	Ticlopidin Sandoz	1
Ticlopidin Stada	43576964	Ticlopidin Stada	1
Ticlopidine	1302398	Ticlopidine	1
Ticovac	21016423	TicoVac	1
Tiemonium	19055843	TIEMONIUM	1
Tigecycline	1742432	tigecycline	1
Tiger Balm Rot	40230280	Tiger Balm	1
Tiger Balm Rot Alt	40230280	Tiger Balm	1
Tiger Balm Wei	40230280	Tiger Balm	1
Tiger Balm Wei.Alt	40230280	Tiger Balm	1
Tigreat	43127903	TIGREAT	1
Tiklyd	19088485	Ticlid	1
Tilactamed	43576972	Tilactamed	1
Tilactase	950183	Lactase	1
Tilade	19069392	Tilade	1
Tilcotil	43128135	TILCOTIL	1
Tilia Platyphyllos	45774849	Tilia platyphyllos flower extract	1
Tilia Tomentosa	19056118	Tilia extract	1
Tilia Vulgaris	19056118	Tilia extract	1
Tilicomp Beta	43576974	Tilicomp Beta	1
Tilidin Stada	43576964	Ticlopidin Stada	1
Tilidine	19002431	Tilidine	1
Tilidura	43577023	Tilidura	1
Tillotts	21020657	Tillotts Pharma Ltd	1
Tiludronic Acid	19011064	tiludronic acid	1
Tim Ophtal	43577024	Tim-Ophtal	1
Timo Edo	43577025	Timo Edo	1
Timohexal	43577074	Timohexal	1
Timolol	902427	Timolol	1
Timomann	43577077	Timomann	1
Timonil	43577079	Timonil 200	1
Timonil	43577082	Timonil 400	2
Timox	43577086	Timox	1
Timpilo	44021880	Timpilo	1
Tin	19008281	Tin	1
Tinatox	43577088	Tinatox	1
Tinidazole	1702559	Tinidazole	1
Tinospora Cordifolia	40221258	Tinospora cordifolia stem extract	1
Tinzaparin	1308473	tinzaparin	1
Tioblis	43577116	Tioblis	1
Tioconazole	942028	tioconazole	1
Tioguanine	1437379	Thioguanine	1
Tiopronin	903031	tiopronin	1
Tiorfan	43128143	TIORFAN	1
Tiosinamine	42903958	allylthiourea	1
Tiotixene	700465	Thiothixene	1
Tiotropium Bromide	1106776	tiotropium	1
Tipiracil	35602757	Tipiracil	1
Tipranavir	1736999	tipranavir	1
Tirgon	43577118	Tirgon	1
Tirofiban	19017067	tirofiban	1
Tirofiban Hexal	43577119	Tirofiban Hexal	1
Tirofiban Hikma	43577120	Tirofiban Hikma	1
Tiropramide	19100759	Tiropramide	1
Tispol	43577149	Tispol Ibu-Dd	1
Tisseel	19071868	Tisseel	1
Titanium	42900100	Titanium	1
Titralgan Quick	43577150	Titralgan	1
Titretta	43577151	Titretta Schmerztabletten	1
Tivicay	43560293	Tivicay	1
Tixocortol	19078460	tixocortol	1
Tizanidine	778474	tizanidine	1
Tmc Pharma	21019367	TMC Pharma Services Ltd	1
Tobi	19082884	Tobi	1
Tobradex	19082889	Tobradex	1
Tobramycin	902722	Tobramycin	1
Tobramycin Teva	43577160	Tobramycin Teva	1
Tobrazid	43577162	Tobrazid	1
