GEMSCRIPT_CODE	THIN_NAME	GEMSCRIPT_NAME	pack_component	amount	non p
51247020	Clarithromycin 500mg / metronidazole 400mg / lansoprazole 30mg triple pack	Clarithromycin 500mg / metronidazole 400mg / lansoprazole 30mg triple pack	Clarithromycin 500mg tablet		
51247020	Clarithromycin 500mg / metronidazole 400mg / lansoprazole 30mg triple pack	Clarithromycin 500mg / metronidazole 400mg / lansoprazole 30mg triple pack	metronidazole 400mg tablet		
51247020	Clarithromycin 500mg / metronidazole 400mg / lansoprazole 30mg triple pack	Clarithromycin 500mg / metronidazole 400mg / lansoprazole 30mg triple pack	lansoprazole 30mg tablet		
55223020	Ethinylestradiol / norethisterone 35mcg+1mg tablets	Neocon 1/35 Tablet (Cilag Pharmaceuticals Ltd)	Norethindrone 1mg  / ethinyl estradiol 35mcg tablet	21	
55223020	Ethinylestradiol / norethisterone 35mcg+1mg tablets	Neocon 1/35 Tablet (Cilag Pharmaceuticals Ltd)	inert ingredient tablet	7	
55244020	Ethinylestradiol / norethisterone - triphasic / placebo 7 x 35+500mcg; 7 x 35+750mcg; 7 x 35mcg+1mg tablet	Trinovum ed ED tablets (Janssen-Cilag Ltd)	norethisteron 500microgram / ethinylestradiol 35microgram tablet	7	
55244020	Ethinylestradiol / norethisterone - triphasic / placebo 7 x 35+500mcg; 7 x 35+750mcg; 7 x 35mcg+1mg tablet	Trinovum ed ED tablets (Janssen-Cilag Ltd)	norethisteron 750microgram / ethinylestradiol 35microgram tablet	7	
55244020	Ethinylestradiol / norethisterone - triphasic / placebo 7 x 35+500mcg; 7 x 35+750mcg; 7 x 35mcg+1mg tablet	Trinovum ed ED tablets (Janssen-Cilag Ltd)	norethisteron 1mg / ethinylestradiol 35microgram tablet	7	
56900020	Isosorbide mononitrate 10mg+20mg starter pack	Ismo Starter pack (Roche Products Ltd)	Isosorbide mononitrate 10mg		
56900020	Isosorbide mononitrate 10mg+20mg starter pack	Ismo Starter pack (Roche Products Ltd)	Isosorbide mononitrate 20mg		
56953020	Estradiol / (estradiol / norethisterone acetate) 50mcg/24 hr / (50mcg+250mcg/24 hr) twice weekly patch	Estradiol / (estradiol / norethisterone acetate) 50mcg/24 hr / (50mcg+250mcg/24 hr) twice weekly patch	estradiol 50mcg patch	1	
56953020	Estradiol / (estradiol / norethisterone acetate) 50mcg/24 hr / (50mcg+250mcg/24 hr) twice weekly patch	Estradiol / (estradiol / norethisterone acetate) 50mcg/24 hr / (50mcg+250mcg/24 hr) twice weekly patch	estradiol 50mcg / norethisterone acetate 250mcg patch	1	
57503020	Estradiol valerate and (estradiol valerate / norethisterone) 1mg / (1mg+1mg) tablets	Estradiol valerate / (estradiol valerate / norethisterone) 1mg / (1mg with 1mg) tablets	Estradiol valerate 1mg tablet	16	
