DOSAGE	VOLUME	INGREDIENT_CONCEPT_CODE	CONCEPT_NAME	CONCEPT_CODE	GEMSCRIPT_NAME
5mg		Amiloride	Co-amilozide 5mg/50mg tablets	96211996	Hydrochlorothiazide with amiloride 50mg with 5mg Tablet
5mg		Amiloride	Co-amilozide 5mg/50mg tablets	99849992	AMILCO TAB
5mg		Amiloride	Co-amilozide 5mg/50mg tablets	94546998	Amiloride 5mg / hydrochlorothiazide 50mg tablets
5mg		Amiloride	Co-amilozide 5mg/50mg tablets	99405998	Moduretic Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)
50mg		Hydrochlorothiazide	Co-amilozide 5mg/50mg tablets	96211996	Hydrochlorothiazide with amiloride 50mg with 5mg Tablet
50mg		Hydrochlorothiazide	Co-amilozide 5mg/50mg tablets	99849992	AMILCO TAB
50mg		Hydrochlorothiazide	Co-amilozide 5mg/50mg tablets	94546998	Amiloride 5mg / hydrochlorothiazide 50mg tablets
50mg		Hydrochlorothiazide	Co-amilozide 5mg/50mg tablets	99405998	Moduretic Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)
1000mg		Amoxicillin	Co-amoxiclav 1000mg/200mg powder for solution for injection vials	95028996	Amoxicillin 1000mg / clavulanic acid 100mg/vial injection
200mg		Clavulanate	Co-amoxiclav 1000mg/200mg powder for solution for injection vials	95028996	Amoxicillin 1000mg / clavulanic acid 100mg/vial injection
125mg/5ml		Amoxicillin	Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	96660996	Clavulanic acid 31mg / amoxicillin 125mg/5ml sugar free oral suspension
125mg/5ml		Amoxicillin	Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	86035998	Amoxicillin 125mg / Clavulanic acid 31mg/5ml oral suspension
125mg/5ml		Amoxicillin	Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	99836992	AMOXYCILLIN 125MG/62MG CLAVULANIC ACID SYR
125mg/5ml		Amoxicillin	Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	86034998	Clavulanic acid 31mg / amoxcillin 125mg/5ml oral suspension
125mg/5ml		Amoxicillin	Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	95029996	Amoxicillin 125mg / Clavulanic acid 31mg/5ml oral suspension
31mg/5ml		Clavulanate	Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	96660996	Clavulanic acid 31mg / amoxicillin 125mg/5ml sugar free oral suspension
31mg/5ml		Clavulanate	Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	86035998	Amoxicillin 125mg / Clavulanic acid 31mg/5ml oral suspension
31mg/5ml		Clavulanate	Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	99836992	AMOXYCILLIN 125MG/62MG CLAVULANIC ACID SYR
31mg/5ml		Clavulanate	Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	86034998	Clavulanic acid 31mg / amoxcillin 125mg/5ml oral suspension
31mg/5ml		Clavulanate	Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	95029996	Amoxicillin 125mg / Clavulanic acid 31mg/5ml oral suspension
250mg/5ml		Amoxicillin	Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	86036998	Clavulanic acid 62mg / amoxicillin 250mg/5ml oral suspension
250mg/5ml		Amoxicillin	Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	97708998	Clavulanic acid 62mg / amoxicillin 250mg/5ml sugar free suspension
250mg/5ml		Amoxicillin	Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	86037998	Amoxicillin 250mg / Clavulanic acid 62mg/5ml oral suspension
250mg/5ml		Amoxicillin	Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	95028998	Amoxicillin 250mg / Clavulanic acid 62mg/5ml oral suspension
62mg/5ml		Clavulanate	Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	86036998	Clavulanic acid 62mg / amoxicillin 250mg/5ml oral suspension
62mg/5ml		Clavulanate	Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	97708998	Clavulanic acid 62mg / amoxicillin 250mg/5ml sugar free suspension
62mg/5ml		Clavulanate	Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	86037998	Amoxicillin 250mg / Clavulanic acid 62mg/5ml oral suspension
62mg/5ml		Clavulanate	Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	95028998	Amoxicillin 250mg / Clavulanic acid 62mg/5ml oral suspension
400mg/5ml		Amoxicillin	Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free	97708996	Clavulanic acid 57mg / amoxicillin 400mg/5ml sugar free suspension
400mg/5ml		Amoxicillin	Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free	99111997	Amoxicillin 400mg / Clavulanic acid 57mg/5ml sugar free oral suspension
57mg/5ml		Clavulanate	Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free	97708996	Clavulanic acid 57mg / amoxicillin 400mg/5ml sugar free suspension
57mg/5ml		Clavulanate	Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free	99111997	Amoxicillin 400mg / Clavulanic acid 57mg/5ml sugar free oral suspension
500mg		Amoxicillin	Co-amoxiclav 500mg/100mg powder for solution for injection vials	95028997	Amoxicillin 500mg / clavulanic acid 100mg/vial injection
100mg		Clavulanate	Co-amoxiclav 500mg/100mg powder for solution for injection vials	95028997	Amoxicillin 500mg / clavulanic acid 100mg/vial injection
12.5mg		Benserazide	Co-beneldopa 12.5mg/50mg capsules	96928992	CO-BENELDOPA 62.5 MG CAP
50mg		Levodopa	Co-beneldopa 12.5mg/50mg capsules	96928992	CO-BENELDOPA 62.5 MG CAP
12.5mg		Benserazide	Co-beneldopa 12.5mg/50mg dispersible tablets sugar free	95070997	Benserazide 12.5mg / Levodopa 50mg dispersible tablets
12.5mg		Benserazide	Co-beneldopa 12.5mg/50mg dispersible tablets sugar free	96021998	Levodopa / benserazide 50mg + 12.5mg Dispersible tablet
50mg		Levodopa	Co-beneldopa 12.5mg/50mg dispersible tablets sugar free	95070997	Benserazide 12.5mg / Levodopa 50mg dispersible tablets
50mg		Levodopa	Co-beneldopa 12.5mg/50mg dispersible tablets sugar free	96021998	Levodopa / benserazide 50mg + 12.5mg Dispersible tablet
25mg		Benserazide	Co-beneldopa 25mg/100mg capsules	99938992	LEVODOPA/BENSERAZIDE 100 MG TAB
100mg		Levodopa	Co-beneldopa 25mg/100mg capsules	99938992	LEVODOPA/BENSERAZIDE 100 MG TAB
25mg		Benserazide	Co-beneldopa 25mg/100mg dispersible tablets sugar free	96021997	Levodopa / benserazide 100mg + 25mg Dispersible tablet
25mg		Benserazide	Co-beneldopa 25mg/100mg dispersible tablets sugar free	95069998	Benserazide 25mg / Levodopa 100mg dispersible tablet
100mg		Levodopa	Co-beneldopa 25mg/100mg dispersible tablets sugar free	96021997	Levodopa / benserazide 100mg + 25mg Dispersible tablet
100mg		Levodopa	Co-beneldopa 25mg/100mg dispersible tablets sugar free	95069998	Benserazide 25mg / Levodopa 100mg dispersible tablet
10mg		Carbidopa	Co-careldopa 10mg/100mg tablets	96020998	Levodopa / carbidopa 100mg + 10mg Tablet
10mg		Carbidopa	Co-careldopa 10mg/100mg tablets	96872998	Carbidopa 10mg / levodopa 100mg tablets
