batch,item,i_name,value,v_name,cur_maps_to_id,cur_maps_to_name,cur_maps_to_value_id,cur_maps_to_value_name,new_maps_to_id,new_maps_to_name,new_maps_to_value_id,new_maps_to_value_name,new_value_as_number,new_unit_id,new_unit_name
Already-mapped Metastasis-class non-LN add Positive polarity,1112,Mets at DX-Bone,1,Yes; distant bone metastases,36769301,Metastasis to bone,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,1113,Mets at DX-Brain,1,Yes; distant brain metastases,36768862,Metastasis to brain,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,1115,Mets at DX-Liver,1,Yes; distant liver metastases,36770544,Metastasis to liver,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,1116,Mets at DX-Lung,1,Yes; distant lung metastases,36770283,Metastasis to lung,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,1117,Mets at DX-Other,1,"Yes; distant metastases in known site(s) other than bone, brain, liver, lung or distant lymph nodes (Note: includes bone marrow involvement for lymphomas)",36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,1117,Mets at DX-Other,2,Generalized metastases such as carcinomatosis,36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2810,CS Extension,720,"Other genital structures by metastasis:| Broad ligament| Cervix| Fallopian tube(s)| Genital structures, NOS| Ovary(ies)| Vagina",35226152,Metastasis to genital organs,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2810,CS Extension,730,"Tumor involves one or both|ovaries with microscopically confirmed peritoneal metastasis|outside the pelvis, NOS|(See Note 7)",35226253,Metastasis to peritoneum,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2830,CS Lymph Nodes,510,"Satellite nodule(s) or in transit metastasis, distance from primary tumor less than or equal to 2 cm or distance not stated|WITHOUT regional lymph node involvement. Includes cases with ITCs only and cases with regional lymph node involvement not stated||",36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2830,CS Lymph Nodes,520,"Satellite nodule(s) or in transit metastasis, distance from primary tumor greater than 2 cm |WITHOUT regional lymph node involvement. Includes cases with ITCs only and cases with regional lymph node involvement not stated ||OR||Described as tumor with in",36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,05,"Metastasis to underlying cartilage, bone, skeletal muscle (excluding direct extension)",36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,05,"For mucinous tumors only:| Intraperitoneal metastasis BEYOND the right lower quadrant, including pseudomyxoma peritonei||Stated as M1a with no other information on distant metastasis",704985,Metastasis to abdomen,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,10,Imaging confirmation of liver and/or spleen metastasis,36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,10,"Metastasis to lung(s) only, NOS",36770283,Metastasis to lung,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,15,Metastasis to skin or subcutaneous tissue,35225673,Metastasis to skin,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,20,Distant metastasis to lung,36770283,Metastasis to lung,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,20,"For mucinous tumors only: (08 and/or 10) + 05 Distant lymph node(s) plus intraperitoneal metastasis BEYOND the right lower quadrant, including pseudomyxoma peritonei",704985,Metastasis to abdomen,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,20,Single metastatic lesion only:| Distant metastasis to site other than bone marrow or CNS,36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,20,"Metastasis within CNS and CSF pathways|""""Drop"""" metastasis",35226096,Metastasis to central nervous system,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,20,"Metastasis within CNS and CSF pathways|""""Drop"""" metastasis",35225743,Metastasis to spinal cord,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,25,"20 + (11, 12, or 13) ||Distant metastasis to lung and lymph nodes as described in code 11, 12, or 13",36770283,Metastasis to lung,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,26,Metastasis limited to a single distant organ except peritoneum,36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,30,Metastasis in bone(s),36769301,Metastasis to bone,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,30,Metastasis outside the CNS|Extra-neural metastasis,36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,30,Distant metastasis to lung only||Stated as M1a with no other information on distant metastasis,36770283,Metastasis to lung,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,30,Single metastatic lesion only:| Distant metastasis to bone marrow only,35226074,Metastasis to bone marrow,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,35,30 + (10 or 15) ||Metastasis to lung plus distant lymph node(s) or skin or subcutaneous tissue,36770283,Metastasis to lung,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,35,30 + (11 or 12)||Metastasis in bone(s) plus distant lymph node(s),36769301,Metastasis to bone,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,35,"Distant metastasis to single lesion, NOS||Stated as M1a with no other information on metastasis",36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,36,Metastases to more than one distant organ except distant lymph node(s)|Metastasis to peritoneum|Carcinomatosis,35226253,Metastasis to peritoneum,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,36,30 + 13||Metastasis to lung plus distant lymph node(s) or skin or subcutaneous tissue,36770283,Metastasis to lung,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,37,"(20, 30, or 33) + (10)||Metastasis to regional lymph node(s) plus lung",36770283,Metastasis to lung,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,40,"Distant metastasis except distant lymph node(s) or """"lung only""""|Distant metastasis to lung plus other sites except distant lymph nodes.|Carcinomatosis",36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,40,Distant metastasis(es) except distant lymph node(s) |Carcinomatosis,36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,40,"Distant metastasis(es) except distant lymph node(s)|Carcinomatosis|(Includes seeding of peritoneum, even if limited to the lesser sac region; positive peritoneal cytology)",36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,40,Distant metastasis(es) except distant lymph node(s) including:| Peritoneal nodules| Liver parenchymal nodules|Carcinomatosis|Malignant peritoneal cytology,36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,40,Distant metastasis(except distant lymph node(s) and involvement of other organs by peritoneal seeding or implants (See Note 1) including:| Liver parenchymal metastasis| Pleural effusion WITH positive cytology|| Carcinomatosis,36769180,Metastasis,,,,,9191,Positive,,,
Already-mapped Metastasis-class non-LN add Positive polarity,2850,CS Mets at DX,40,Distant metastasis except distant lymph node(s) and metastatic skin lesions |Carcinomatosis,36769180,Metastasis,,,,,9191,Positive,,,
