concept_code_1	concept_code_2	vocabulary_id_1	vocabulary_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
"1-10"	"5880005"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-100"	"53185004"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-20"	"84728005"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-242"	"21727005"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-245"	"252553002"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-247"	"252559003"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-268"	"21032000"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-268.x"	"21032000"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-269"	"784769006"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-273"	"93501"	"OPS"	"CPT4"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-273.x"	"40403005"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-273.x"	"93501"	"OPS"	"CPT4"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-313"	"20816008"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-315"	"713501009"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-336"	"27662000"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-610"	"173033002"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-610.2"	"173035009"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-610.x"	"173033002"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-611"	"392109007"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-611.x"	"392109007"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-631"	"392153002"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-632"	"76009000"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-635"	"173933000"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-635.x"	"173933000"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-63a"	"446885004"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-650"	"G9937"	"OPS"	"HCPCS"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-650.0"	"174184006"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-650.0"	"G9937"	"OPS"	"HCPCS"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-650.x"	"174184006"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-650.x"	"G9937"	"OPS"	"HCPCS"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-653"	"174315007"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-660"	"386547005"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-661"	"386745004"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-665"	"361252006"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-672"	"88355005"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-68"	"363071007"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-697.0"	"281156005"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-697.1"	"239412003"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-697.2"	"239413008"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-697.3"	"239414002"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-697.3"	"29840"	"OPS"	"CPT4"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-697.6"	"239415001"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-697.7"	"179398005"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-697.7"	"29870"	"OPS"	"CPT4"	"Maps to"	"1970-01-01"	"2099-12-31"	
"1-697.8"	"239416000"	"OPS"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
