"concept_code_1";"concept_code_2";"vocabulary_id_1";"vocabulary_id_2";"relationship_id";"valid_start_date";"valid_end_date";"invalid_reason"
"19614411000001100";OMOP3130816;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"19941911000001101";OMOP994447;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"20163511000001100";OMOP3067756;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"20163711000001105";OMOP2546877;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"21204011000001101";OMOP305586;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"21928611000001108";OMOP4823784;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"21930211000001105";OMOP4823784;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"38973511000001106";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"38969911000001109";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"38970011000001108";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3255311000001102";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"4029011000001109";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3255411000001109";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"22704311000001109";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"25256511000001107";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"22704411000001102";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3245911000001104";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3246211000001102";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3246411000001103";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"36509011000001106";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"36510911000001101";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"36509111000001107";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"27114211000001105";"111";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"27114311000001102";"111";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"30935711000001104";"111";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"30935811000001107";"111";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"41343611000001107";"2610328";dm+d;RxNorm;Maps to;2023-05-29;2025-07-23;D
"41343711000001103";"2610328";dm+d;RxNorm;Maps to;2023-05-29;2025-07-23;D
"10306611000001101";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"10306711000001105";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"10306811000001102";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"35726811000001104";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"35726911000001109";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"35727011000001108";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"36755311000001100";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"36754011000001102";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"9509211000001106";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"9519711000001102";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"9509311000001103";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"9509111000001100";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"10133911000001103";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"11278411000001109";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3244411000001106";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"39716811000001100";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"10134011000001100";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"35031411000001107";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"21146511000001108";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"11278511000001108";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3244811000001108";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3245611000001105";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3243711000001102";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3244111000001101";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"10309511000001105";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"10306211000001103";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"10306311000001106";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3252611000001103";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"39716611000001104";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3252711000001107";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3252911000001109";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3249211000001106";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3249011000001101";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"22628411000001107";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"22628611000001105";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"22628511000001106";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"35727111000001109";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"35727211000001103";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"35727311000001106";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3255011000001100";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3255111000001104";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3255211000001105";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"35111211000001108";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"15382311000001101";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"23445511000001105";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"15382411000001108";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3439211000001108";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3003511000001107";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"27396511000001105";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3439311000001100";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"34783011000001102";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"34783111000001101";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"35111311000001100";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"27396611000001109";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3007311000001108";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"3007511000001102";"33";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"19821411000001103";"111";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"19840311000001103";"111";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"19820411000001107";"111";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"34680411000001107";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"34680511000001106";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"34680611000001105";"141";dm+d;CVX;Maps to;2023-05-24;2025-07-23;D
"21932011000001101";OMOP3102358;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"22643611000001101";OMOP3067752;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"26209711000001100";OMOP2787617;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"26267711000001107";OMOP1089258;dm+d;RxNorm Extension;Maps to;2023-05-24;2099-12-31;
"28048111000001100";OMOP4711980;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"28054411000001104";OMOP3102335;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"28926911000001105";OMOP2546174;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"29867011000001108";OMOP2787500;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"2989011000001100";OMOP4711980;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"29960111000001100";OMOP305610;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3003311000001101";OMOP713548;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3003411000001108";OMOP713548;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"30172011000001107";OMOP305586;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"30172411000001103";OMOP3067752;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"30268511000001106";OMOP305610;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"30458611000001100";OMOP3102335;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"30795411000001109";OMOP4742295;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3256011000001109";OMOP3130816;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3256211000001104";OMOP3130816;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3258611000001101";OMOP513540;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3259611000001105";OMOP2611241;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3260711000001100";OMOP1005067;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3260911000001103";OMOP1005067;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3261511000001103";OMOP2547613;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3261611000001104";OMOP1005067;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3262111000001102";OMOP1005067;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3262711000001101";OMOP1005067;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3263211000001102";OMOP4740947;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3263811000001101";OMOP2544759;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3264011000001109";OMOP1005067;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3264311000001107";OMOP1005067;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3264511000001101";OMOP2547613;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3264811000001103";OMOP3067831;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3264911000001108";OMOP2544759;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3265211000001103";OMOP1005067;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3266411000001108";OMOP2544759;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3267311000001103";OMOP4741824;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3268011000001100";OMOP2610879;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3268111000001104";OMOP4741824;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3269011000001105";OMOP3074263;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3269811000001104";OMOP3067831;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3270111000001109";OMOP4742267;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
"3270311000001106";OMOP2548331;dm+d;RxNorm Extension;Maps to;2025-07-10;2099-12-31;
