"drug_concept_code";"drug_concept_name";"ingredient_concept_code";"ingredient_concept_name";"amount_value";"amount_name";"denominator_value";"denominator_unit"
"10064011000001101";Echinacea tablets;"715517000";Echinacea;;;;
"10064211000001106";Ferric chloride solution strong BPC 1973;"420810003";Ferric chloride;;;;
"10142211000001100";Sodium hyaluronate cream;"387578003";Sodium hyaluronate;;;;
"10161711000001105";Levodopa 20mg/ml / Carbidopa monohydrate 5mg/ml intestinal gel 100ml cassette;"387086006";Levodopa;20;mg;1;ml
"10161711000001105";Levodopa 20mg/ml / Carbidopa monohydrate 5mg/ml intestinal gel 100ml cassette;"73579000";Carbidopa;5;mg;1;ml
"10196911000001104";Multivitamin and Mineral capsules;;;;;;
"10225111000001100";Carmellose gelatin paste;;;;;;
"10244711000001100";Sodium dichloroisocyanurate 50% granules;"387319002";Sodium bicarbonate;;;;
"10244711000001100";Sodium dichloroisocyanurate 50% granules;"420472007";Sodium dichloroisocyanurate;;;;
"10328411000001106";Multimineral capsules;;;;;;
"10328511000001105";Generic Vega Vitamin B Complex capsules;;;;;;
"10560811000001100";Apple mistletoe solution for injection 1ml ampoules;"10562111000001106";Apple mistletoe;;;;
"10560911000001105";Caffeine citrate powder;"255641001";Caffeine;;;;
"10561211000001107";Cetrimide powder;"395895003";Cetrimide;;;;
"10561311000001104";Chlorocresol powder;"255884003";Chlorocresol;;;;
"10561511000001105";Generic Seven Seas Jointcare Complete capsules;;;;;;
"10562711000001107";Apple mistletoe / Copper carbonate solution for injection 1ml ampoules;"10562111000001106";Apple mistletoe;;;;
"10562711000001107";Apple mistletoe / Copper carbonate solution for injection 1ml ampoules;"424351000";Copper carbonate;;;;
"10562811000001104";Apple mistletoe / Silver carbonate solution for injection 1ml ampoules;"10562111000001106";Apple mistletoe;;;;
"10562811000001104";Apple mistletoe / Silver carbonate solution for injection 1ml ampoules;"442425008";Silver carbonate;;;;
"10562911000001109";Crystal violet powder BP 1980;"387239001";Methylrosanilinium chloride;;;;
"10563011000001101";Guaifenesin powder;"87174009";Guaifenesin;;;;
"10583911000001104";Sodium DL-3-hydroxybutyrate powder;"10584011000001101";Sodium DL-3-hydroxybutyrate;;;;
"10606311000001103";Apple mistletoe / Mercuric sulphate solution for injection 1ml ampoules;"10562111000001106";Apple mistletoe;;;;
"10606311000001103";Apple mistletoe / Mercuric sulphate solution for injection 1ml ampoules;"62304003";Mercuric sulfate;;;;
"10606411000001105";Apple mistletoe oral drops;"10562111000001106";Apple mistletoe;;;;
"10606611000001108";Ferrous sulfate heptahydrate powder;"725858004";Ferrous sulfate heptahydrate;;;;
"10607011000001103";Ipecacuanha liquid extract;"4670811000001103";Ipecacuanha liquid extract;;;;
"10607111000001102";Mineralised methylated spirit;"259221006";Methyl alcohol;;;;
"10607111000001102";Mineralised methylated spirit;"419442005";Ethanol;;;;
"10607211000001108";Oak mistletoe / Copper carbonate solution for injection 1ml ampoules;"10562411000001101";Oak mistletoe;;;;
"10607211000001108";Oak mistletoe / Copper carbonate solution for injection 1ml ampoules;"424351000";Copper carbonate;;;;
"10607311000001100";Oak mistletoe / Mercuric sulphate solution for injection 1ml ampoules;"10562411000001101";Oak mistletoe;;;;
"10607311000001100";Oak mistletoe / Mercuric sulphate solution for injection 1ml ampoules;"62304003";Mercuric sulfate;;;;
"10607411000001107";Oak mistletoe / Silver carbonate solution for injection 1ml ampoules;"10562411000001101";Oak mistletoe;;;;
"10607411000001107";Oak mistletoe / Silver carbonate solution for injection 1ml ampoules;"442425008";Silver carbonate;;;;
"10607511000001106";Oak mistletoe oral drops;"10562411000001101";Oak mistletoe;;;;
"10607611000001105";Oak mistletoe solution for injection 1ml ampoules;"10562411000001101";Oak mistletoe;;;;
"10607711000001101";Pine mistletoe / Mercuric sulphate solution for injection 1ml ampoules;"10562511000001102";Pine mistletoe;;;;
"10607711000001101";Pine mistletoe / Mercuric sulphate solution for injection 1ml ampoules;"62304003";Mercuric sulfate;;;;
"10607811000001109";Pine mistletoe oral drops;"10562511000001102";Pine mistletoe;;;;
"10607911000001104";Pine mistletoe solution for injection 1ml ampoules;"10562511000001102";Pine mistletoe;;;;
"10608111000001101";Silver nitrate powder;"373483000";Silver nitrate;;;;
"10655811000001109";Generic GSF-Syrup oral gel 18g sachets;"11320009";Sucrose;;;;
"10655811000001109";Generic GSF-Syrup oral gel 18g sachets;"58202007";Fructose;;;;
"10655811000001109";Generic GSF-Syrup oral gel 18g sachets;"67079006";Glucose;;;;
