cohortId,cohortName
2064,"All events of Paresthesia, with a washout period of 365 days"
2069,"All events of Deep Vein Thrombosis (DVT), with a washout period of 365 days"
2071,"Earliest occurrence of thyroiditis, indexed on condition or drug"
2072,"All events of Acute Myocardial Infarction, inpatient setting with washout period of 365 days"
2073,"All events Disseminated intravascular coagulation, inpatient setting with washout period of 365"
2075,"All events of Kawasaki disease, with a washout period of 365 days"
2076,"All events of Pulmonary Embolism, with a washout period of 365 days"
2077,"All events of Facial Nerve or Bells palsy, with a washout period of 183 days"
2078,"All events of Appendicitis, in an inpatient setting, with a washout period of 365 days"
2079,"All events of Guillain Barre syndrome, in inpatient setting, with a washout period of 365 days"
2080,"All events of Seizure, with a washout period of 42 days"
2081,"All events Narcolepsy, with no hypersomnia in the past 365 and a washout period of 365 days"
2082,"All events of Febrile seizure, indexed on Febrile or unspecified seizure, with 42 days washout"
2084,"All events of Microangiopathy, indexed on condition or symptoms, with a 365 days washout period"
2085,"All events of Urticaria, with a washout period of 365 days"
2087,"All events of Non-hemorrhagic Stroke in an inpatient setting, with a washout period of 365 days"
2089,"All events of Myocarditis or Pericarditis, with a washout period of 365 days"
3116,"All events Encephalitis or Encephalomyelitis, inpatient setting, with washout period of 183 day"
3369,Earliest event of Epilepsy
3374,Earliest event of Treatment resistant epilepsy
3376,Earliest event of Bipolar
3379,"Earliest event of Bipolar, with treatment within a year"
3385,"Earliest event of Alzheimer's disease derived from Imfeld, 2013"
3392,"Earliest event of Parkinson's disease, inpatient or with 2nd diagnosis"
3394,Earliest event of Posttraumatic stress disorder
3417,Earliest event of Autism
3421,"Earliest event of Suicide attempt, including drug poisoning"
3426,Earliest event of Suicide ideation
3429,"Earliest event of Suicide ideation, attempt, including drug poisoning"
3436,Earliest event of Chronic inflammatory demyelinating polyradiculoneuropathy (CIDP)
3437,Earliest event of Hematopoietic Stem Cell Transplantation (HSCT) procedure
3454,Earliest event of Hidradenitis suppurativa
3456,"Earliest event of Inclusion body myositis, indexed on condition or symptom"
3459,"Earliest event of Lichen planus (LP), indexed on LP or alternate diagnose"
3461,"Earliest event of Lupus nephritis, derived from Chibnik et. al, 2010"
3462,Earliest event of Pustular psoriasis of palms and soles
3466,Earliest event of Systemic lupus erythematosus
3469,"Earliest event Takayasu's arteritis (TA), indexed on TA or arteritis"
3472,"Earliest event of Polymyositis, indexed on diagnosis or symptom"
3474,Earliest event of Pityriasis rubra pilaris
3476,Earliest event of Noninfectious uveitis or Iridocyclitis
3480,Earliest event of Guttate psoriasis
3495,Earliest event of Amyotrophic lateral sclerosis (ALS)
3834,Earliest event of Behcet's syndrome
3843,"Earliest event of Bullous pemphigoid, with 2nd diagnosis"
3848,"Earliest event Congenital heart block, indexed on diagnosis or symptom"
3850,"Earliest event of Dermatomyositis, indexed on diagnosis or symptoms"
6890,"Invega Trinza prevalent users w 0d obsv, 30d gap, 0d surv"
6892,"Remicade prevalent users w 0d obsv, 30d gap, 0d surv"
6893,"Simponi Aria prevalent users w 0d obsv, 30d gap, 0d surv"
6894,"Stelara prevalent users w 0d obsv, 30d gap, 0d surv"
6903,"abacavir exposures w 0d prior obsv, 30d gap"
6904,"abatacept exposures w 0d prior obsv, 30d gap"
6905,"abciximab exposures w 0d prior obsv, 30d gap"
6907,"acamprosate exposures w 0d prior obsv, 30d gap"
6908,"acarbose exposures w 0d prior obsv, 30d gap"
6909,"acetaminophen exposures w 0d prior obsv, 30d gap"
